Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S25,JPF,14400,True,S19,風林火山,14400
S31,切磋琢磨,10000,True,S60,四割菱,10700
S11,キングダム,7800,False,S4,為信の野望,7894
S3,ひののにとん,10000,True,S61,国宝きゃば城,10700
S23,ワグネリアン,10086,False,S61,七つの大罪,10148
S55,大日本帝国,7800,False,S61,紅蓮の華,8000
S33,河瀬家,14400,False,S6,素寒貧,14400
S4,為信の野望,7894,True,S11,キングダム,7800
S19,風林火山,14400,False,S25,JPF,14400
S13,キムファーム,7800,False,S60,八岐大蛇,8000
S4,河童衆,9930,False,S62,煉獄,10200
S27,北極ぺんぎん,5600,True,S60,リオネス,5852
S10,疾風迅雷,10000,False,S61,六文銭,10700
S6,素寒貧,14400,True,S33,河瀬家,14400
S10,リベルテ,12200,True,S21,滑空傭兵団,11200
S44,絆,10000,True,S62,男の修行,9770
S35,いちご大福,11700,True,S60,神々の集い,13400
S4,一領具足,5100,False,S62,獏羅天,6413
S5,日本同盟,5100,True,S53,毘沙門天,2247
S2,東南高校,11700,False,S1,赤鬼衆,11700
S1,赤鬼衆,11700,True,S2,東南高校,11700
S5,嶺上開花,11700,True,S3,星に願いを,13900
S60,天神之夜宴,11700,False,S59,桜梅桃李,11700
S23,乱れ雪月花,9500,True,S61,鬼猫一族,9700
S15,餃子の王道,7300,True,S55,平成維震軍,7000
S59,桜梅桃李,11700,True,S60,天神之夜宴,11700
S17,平泉大膳,9500,True,S45,水鏡,9200
S27,寧静致遠,9500,False,S33,唯我独尊,9500
S6,農婦の花園,7300,False,S6,天衣無縫,6703
S3,星に願いを,13900,False,S5,嶺上開花,11700
S33,唯我独尊,9500,True,S27,寧静致遠,9500
S56,ひんぬー教,13814,True,S60,あおほた部屋,11200
S13,sky,9000,True,S59,桜花,9200
S60,あおほた部屋,11200,False,S56,ひんぬー教,13814
S29,神託の護,9000,True,S7,気楽に,8500
S60,神々の集い,13400,False,S35,いちご大福,11700
S7,真田六文銭,9000,True,S60,明智家,8500
S8,巡一家,6800,False,S35,珈琲牛乳,6834
S21,滑空傭兵団,11200,False,S10,リベルテ,12200
S1,国士無双,6800,False,S62,犬千代,6512
S35,珈琲牛乳,6834,True,S8,巡一家,6800
S60,黄金聖闘士,9066,True,S42,神州天馬俠,9200
S35,希空の箱庭,6800,-1,S59,蓮華,7100
S60,花魁夜宴,9000,False,S52,天嶽衆,8578
S8,豊後の月,9000,True,S62,エリア51,8700
S8,魔王城,4796,False,S44,野菜王国,2447
S29,南海九州,11200,False,S61,螢,10700
S6,天衣無縫,6703,True,S6,農婦の花園,7300
S7,気楽に,8500,False,S29,神託の護,9000
S61,国宝きゃば城,10700,False,S3,ひののにとん,10000
S43,殺ver2,6300,True,S60,新撰組,5400
S1,幻影旅団,6300,True,S61,風林火山,5300
S48,ちむどんどん,10622,False,S48,妖精の尻尾,10200
S52,天嶽衆,8578,True,S60,花魁夜宴,9000
S61,おにぎり,8500,True,S60,鬼ヶ島,8500
S15,ドングリーズ,4400,-1,S37,軍靴ノ音,2334
S7,真戦組,8500,True,S48,奉行48,8500
S60,明智家,8500,False,S7,真田六文銭,9000
S48,奉行48,8500,False,S7,真戦組,8500
S61,螢,10700,True,S29,南海九州,11200
S39,破天煌武,8500,True,S57,世界統一協会,8700
S61,六文銭,10700,True,S10,疾風迅雷,10000
S60,四割菱,10700,False,S31,切磋琢磨,10000
S60,鬼ヶ島,8500,False,S61,おにぎり,8500
S50,サブライズ,5800,True,S61,麦わらの一味,5800
S60,君臣豊楽,8000,True,S60,全狂連,7500
S40,風林火山,8000,False,S61,緋色の翼,7500
S60,苺農業高校,8000,True,S38,デパ地下組織,7467
S61,紅蓮の華,8000,True,S55,大日本帝国,7800
S61,関東軍,3800,False,S57,雷蔵,4600
S50,龍門,7906,False,S54,暁2,7500
S61,麦わらの一味,5800,False,S50,サブライズ,5800
S61,越乃寒梅の団,8000,True,S46,翔龍,7500
S62,煉獄,10200,True,S4,河童衆,9930
S60,リオネス,5852,False,S27,北極ぺんぎん,5600
S48,妖精の尻尾,10200,True,S48,ちむどんどん,10622
S61,七つの大罪,10148,True,S23,ワグネリアン,10086
S47,義遊庵,5800,True,S59,砦回し用,6453
S60,八岐大蛇,8000,True,S13,キムファーム,7800
S61,黒十字団,3800,-1,S53,三國無双,2300
S60,新撰組,5400,False,S43,殺ver2,6300
S60,全狂連,7500,False,S60,君臣豊楽,8000
S60,蒼き狼,5333,True,S61,威風,6401
S62,一向宗,9700,True,S60,ジオン公国,9700
S61,鬼猫一族,9700,False,S23,乱れ雪月花,9500
S38,デパ地下組織,7467,False,S60,苺農業高校,8000
S56,森の妖精,9700,True,S62,新楽園,9200
S41,楽しく,3300,-1,S10,黄金ビョルン,2997
S60,ジオン公国,9700,False,S62,一向宗,9700
S62,男の修行,9770,False,S44,絆,10000
S61,風林火山,5300,False,S1,幻影旅団,6300
S54,暁2,7500,True,S50,龍門,7906
S58,伊賀の里,3400,-1,S62,傍若武人,4800
S50,紅葉百景,9700,False,S62,雲竜風虎,9146
S61,緋色の翼,7500,True,S40,風林火山,8000
S46,翔龍,7500,False,S61,越乃寒梅の団,8000
S62,雲竜風虎,9146,True,S50,紅葉百景,9700
S62,不死鳥,4950,True,S53,旧時代,2500
S55,平成維震軍,7000,False,S15,餃子の王道,7300
S44,皇軍,7000,True,S61,亀山社中,6904
S42,神州天馬俠,9200,False,S60,黄金聖闘士,9066
S62,不死山,7000,False,S59,サブの塊,6554
S62,傍若武人,4800,-1,S58,伊賀の里,3400
S61,加賀の国,2600,True,S52,湘北高校,4800
S59,桜花,9200,False,S13,sky,9000
S61,亀山社中,6904,False,S44,皇軍,7000
S62,新楽園,9200,False,S56,森の妖精,9700
S45,水鏡,9200,False,S17,平泉大膳,9500
S52,湘北高校,4800,False,S61,加賀の国,2600
S59,蓮華,7100,-1,S35,希空の箱庭,6800
S41,桜花のサブ,6903,False,S62,赤髪,6574
S10,黄金ビョルン,2997,-1,S41,楽しく,3300
S62,修羅の途,8700,False,S62,神々の進撃,8626
S54,一蓮托生,4353,-1,S53,雑賀秘密警察,2300
S59,サブの塊,6554,True,S62,不死山,7000
S58,桜を見る会,2400,-1,S10,愛宕同盟,2300
S57,夢幻,2397,-1,S54,初心者です,2400
S59,対馬,4400,-1,S43,チーム五箇山,2387
S57,雷蔵,4600,True,S61,関東軍,3800
S49,百鬼夜行,4500,True,S53,まったり温泉,2400
S53,毘沙門天,2247,False,S5,日本同盟,5100
S59,砦回し用,6453,False,S47,義遊庵,5800
S53,雑賀秘密警察,2300,-1,S54,一蓮托生,4353
S54,初心者です,2400,-1,S57,夢幻,2397
S53,旧時代,2500,False,S62,不死鳥,4950
S44,野菜王国,2447,True,S8,魔王城,4796
S53,まったり温泉,2400,False,S49,百鬼夜行,4500
S55,大英帝国,4303,-1,S62,黒い皇帝,2300
S62,黒い皇帝,2300,-1,S55,大英帝国,4303
S62,エリア51,8700,False,S8,豊後の月,9000
S53,三國無双,2300,-1,S61,黒十字団,3800
S62,犬千代,6512,True,S1,国士無双,6800
S62,獏羅天,6413,True,S4,一領具足,5100
S43,チーム五箇山,2387,-1,S59,対馬,4400
S61,威風,6401,False,S60,蒼き狼,5333
S62,赤髪,6574,True,S41,桜花のサブ,6903
S59,一領具足,6500,True,S62,以心伝心,6500
S62,神々の進撃,8626,True,S62,修羅の途,8700
S10,愛宕同盟,2300,-1,S58,桜を見る会,2400
S57,世界統一協会,8700,False,S39,破天煌武,8500
S37,軍靴ノ音,2334,-1,S15,ドングリーズ,4400
S62,以心伝心,6500,False,S59,一領具足,6500
