Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
0,S2,かるだの,32200,True,S1,ショッカー,32739
1,S11,しす派,34400,True,S19,絆2,31100
2,S10,威風堂々,30000,False,S4,涼風一陣,33300
3,S7,風林火山,34400,True,S13,孤軍奮闘,31100
4,S19,絆2,30000,False,S11,しす派,33300
5,S27,百鬼夜行鳳凰,30000,True,S6,軍神,28800
6,S13,孤軍奮闘,30000,False,S7,風林火山,33300
7,S33,九州探題,30000,True,S11,土佐の山間,28900
8,S4,涼風一陣,34400,True,S10,威風堂々,31100
9,S11,土佐の山間,27800,False,S33,九州探題,28900
10,S6,鬼ヶ島,30000,False,S43,殺罰,31800
11,S17,赤兎馬,30000,True,S46,紅龍,28600
12,S8,おつかべ同盟,32200,True,S41,桃源郷,32300
13,S31,金色の皇翼,30000,True,S35,パイパニック,28600
14,S1,sakura,32200,True,S25,天上天下,31730
15,S15,一網打尽,30000,False,S3,姫桜,32800
16,S9,傾奇者,31700,True,S5,奇兵隊,30661
17,S3,円山動物園,31700,True,S21,新日薙帝國,30600
18,S1,風の如く,29500,False,S4,如水,30563
19,S25,鷹の団,31700,True,S3,紅蓮の刃,30100
20,S23,和敬静寂,29500,True,S35,光風霽月,28100
21,S9,傾奇者皇,31700,True,S15,紀伊,30100
22,S8,九州同盟,29500,True,S25,風神雷神,28100
23,S3,姫桜,33900,True,S15,一網打尽,31100
24,S15,覇将府,25100,False,S21,花火百景,25471
25,S11,風林火山,27300,False,S6,里見八犬伝,28437
26,S1,ショッカー,31639,False,S2,かるだの,31100
27,S5,奇兵隊,29561,False,S9,傾奇者,30600
28,S4,如水,31663,True,S1,風の如く,30600
29,S6,里見八犬伝,29537,True,S11,風林火山,28400
30,S25,勝鬨で候,27300,True,S19,華,26523
31,S21,新日薙帝國,29500,False,S3,円山動物園,30600
32,S10,魔苦土那瑠怒,24600,False,S38,爆弾一味,25900
33,S7,合肥,29000,True,S17,TITANS,27900
34,S33,最後の晩餐,31200,True,S35,太郎丸,30800
35,S27,戦国の花,31200,True,S4,太陽の子,30100
36,S8,大日本帝國,29000,True,S40,龍谷山,28100
37,S4,太陽の子,29000,False,S27,戦国の花,30100
38,S23,美酒佳肴,29000,True,S23,摩利支天,28100
39,S15,紀伊,29000,False,S9,傾奇者皇,30600
40,S25,桜花乱舞,31133,True,S17,九州天皇會,29800
41,S35,おもち,29067,True,S21,幸運の大桜,27900
42,S7,安芸諸国連合,29000,True,S8,羅針盤,28100
43,S15,天下一品,29000,True,S13,四国連合,27100
44,S17,TITANS,26800,False,S7,合肥,27900
45,S21,幸運の大桜,26800,False,S35,おもち,27967
46,S3,紅蓮の刃,29000,False,S25,鷹の団,30600
47,S41,桃源郷,31200,False,S8,おつかべ同盟,31100
48,S27,ひよこ隊,30700,True,S19,乙女桔梗,29600
49,S23,神乃一族,30770,True,S19,鬼島津,29600
50,S25,天上天下,30630,False,S1,sakura,31100
51,S25,漢隊,26300,True,S13,満足同盟,24900
52,S19,鬼島津,28500,False,S23,神乃一族,29670
53,S23,鬼神,24200,False,S17,薔薇園,24900
54,S13,明鏡止水,30700,True,S11,RTC,29100
55,S1,炎上軍,26300,False,S25,倭寇,27400
56,S9,FM807,28500,True,S29,楽華隊,27600
57,S19,乙女桔梗,28500,False,S27,ひよこ隊,29600
58,S37,疾風迅雷,28500,True,S10,八咫烏,27600
59,S5,たけのこの里,28500,False,S44,毎日が本能寺,29100
60,S15,ぺろり一門,28500,False,S8,鎌倉幕府,29100
61,S9,武装農民,30700,True,S29,閻魔,29100
62,S25,倭寇,28500,True,S1,炎上軍,27400
63,S43,殺罰,32900,True,S6,鬼ヶ島,31100
64,S29,九州総統連合,28000,True,S21,蟹江警備隊,27100
65,S7,天下人,28000,True,S17,乱れ雪月花,2656
66,S33,武田家,28000,False,S13,楽園,29300
67,S3,夜桜,25800,False,S29,秦国,26900
68,S11,RTC,28000,False,S13,明鏡止水,29600
69,S8,和気藹々,28000,True,S31,ゼロ魔,26900
70,S3,成田長親,23600,False,S31,義風堂々,24700
71,S8,鎌倉幕府,30200,True,S15,ぺろり一門,29600
72,S29,秦国,28000,True,S3,夜桜,26900
73,S31,ゼロ魔,25800,False,S8,和気藹々,26900
74,S35,暁,30200,True,S19,狂猫,29300
75,S10,一人旅,28000,True,S9,月下翼松,26900
76,S9,月下翼松,25800,False,S10,一人旅,26900
77,S29,閻魔,28000,False,S9,武装農民,29600
78,S31,義風堂々,25800,True,S3,成田長親,24700
79,S44,毎日が本能寺,30200,True,S5,たけのこの里,29600
80,S13,曉風南薫,27500,False,S27,不倶戴天,28600
81,S35,ZOO,27500,True,S29,アナハイム,25900
82,S27,不倶戴天,29700,True,S13,曉風南薫,28600
