Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S2,かるだの,28900,True,S25,桜花乱舞,29100
S13,孤軍奮闘,31100,False,S8,おつかべ同盟,31100
S19,絆2,31100,True,S17,赤兎馬,31100
S10,威風堂々,28900,True,S27,戦国の花,28900
S3,姫桜,28900,True,S6,鬼ヶ島,28900
S5,奇兵隊,31100,True,S9,傾奇者,30600
S27,戦国の花,28900,False,S10,威風堂々,28900
S1,sakura,31100,True,S11,しす派,31100
S7,安芸諸国連合,28900,True,S23,月面歩行,29100
S4,涼風一陣,31100,True,S4,毘沙門天,30600
S8,おつかべ同盟,31100,True,S13,孤軍奮闘,31100
S6,鬼ヶ島,28900,False,S3,姫桜,28900
S25,天上天下,28900,True,S39,鬼斬り,29100
S11,しす派,31100,False,S1,sakura,31100
S17,赤兎馬,31100,False,S19,絆2,31100
S33,九州探題,28900,True,S43,花魁道中,29100
S9,傾奇者,30600,False,S5,奇兵隊,31100
S15,朧桜,28400,True,S15,天下一品,28600
S3,紅蓮の刃,28400,True,S6,里見八犬伝,28600
S13,ピノ連合,30600,False,S23,神乃一族,30600
S7,合肥,28400,True,S50,玉砕,28600
S43,殺罰,30600,True,S29,閻魔,30600
S1,風の如く,28400,True,S41,大晋,28600
S9,傾奇者皇,30600,False,S15,一網打尽,30600
S37,疾風迅雷,28400,True,S52,天下布武,28600
S23,神乃一族,30600,True,S13,ピノ連合,30600
S9,月下翼松,28400,True,S17,乱れ雪月花,28600
S15,一網打尽,30600,True,S9,傾奇者皇,30600
S21,幸運の大桜,28400,True,S17,九州天皇會,28600
S4,毘沙門天,30600,False,S4,涼風一陣,31100
S29,閻魔,30600,False,S43,殺罰,30600
S7,天下人,28400,False,S45,聖帝銃士隊,28600
S2,エゴイスト,27900,False,S31,金色の皇翼,27900
S46,紅龍,30100,True,S31,ゼロ魔,29600
S31,金色の皇翼,27900,True,S2,エゴイスト,27900
S15,雅,30100,True,S8,鎌倉幕府,29600
S2,洒々落々,30100,True,S8,大日本帝國,30100
S35,光風霽月,27900,True,S10,死兆星,28100
S25,漢隊,27900,False,S21,新日薙帝國,27900
S35,暁,30100,False,S42,さつまいも,29600
S21,新日薙帝國,27900,True,S25,漢隊,27900
S29,韋駄天,30100,True,S27,酔いどれ屋w,29600
S10,武装戦線,27900,True,S13,明鏡止水,28100
S23,鬼神,30100,True,S17,極楽浄土,29600
S17,RAVENS,27900,False,S41,自由無言同盟,28100
S10,千本桜零鬼,30100,False,S37,威風凛々,29600
S15,天真爛漫,27900,True,S7,ひだまりの里,28100
S8,大日本帝國,30100,False,S2,洒々落々,30100
S35,太郎丸,29600,True,S29,アナハイム,29600
S3,Rena軍,27400,False,S11,土佐の山間,27600
S31,ゼロ魔,29600,False,S46,紅龍,30100
S5,源氏一族2部,27400,True,S29,百花繚乱,27400
S29,百花繚乱,27400,False,S5,源氏一族2部,27400
S17,極楽浄土,29600,False,S23,鬼神,30100
S42,さつまいも,29600,True,S35,暁,30100
S31,愛一,27400,False,S33,徳川光圀,27400
S33,徳川光圀,27400,True,S31,愛一,27400
S27,酔いどれ屋w,29600,False,S29,韋駄天,30100
S8,鎌倉幕府,29600,False,S15,雅,30100
S9,武装農民,27400,False,S39,武田騎馬隊,27400
S11,【沙羅双樹】,27400,False,S8,アルナ軍,27600
S37,威風凛々,29600,True,S10,千本桜零鬼,30100
S29,アナハイム,29600,False,S35,太郎丸,29600
S39,武田騎馬隊,27400,True,S9,武装農民,27400
S6,化楽天,29100,False,S17,TITANS,29100
S21,花火百景,26900,False,S47,錦の御旗,26900
S45,ハム一族,26900,True,S23,和敬静寂,27100
S25,桜花乱舞,29100,False,S2,かるだの,28900
S2,天下蒼生,26900,False,S44,金吾丸,27100
S23,月面歩行,29100,False,S7,安芸諸国連合,28900
S10,一人旅,29100,False,S40,桜花爛漫,29100
S8,和気藹々,26900,True,S3,神算鬼謀,27100
S17,TITANS,29100,True,S6,化楽天,29100
S47,錦の御旗,26900,True,S21,花火百景,26900
S40,桜花爛漫,29100,True,S10,一人旅,29100
S40,瑞巌寺,26900,True,S13,六文銭,27100
S43,花魁道中,29100,False,S33,九州探題,28900
S5,たけのこの里,26900,True,S13,四国連合,27100
S1,楽しく遊ぼう,26900,True,S25,鷹の団,27100
S39,鬼斬り,29100,False,S25,天上天下,28900
S41,極楽桜花,26400,False,S3,キャベツ太郎,26600
S45,聖帝銃士隊,28600,True,S7,天下人,28400
S17,乱れ雪月花,28600,False,S9,月下翼松,28400
S10,八咫烏,26400,False,S47,怒髪天,26600
S9,魔の巣,26400,False,S19,鬼島津,26600
S50,玉砕,28600,False,S7,合肥,28400
S46,黒龍,26400,False,S6,ヴェルサーチ,26600
S17,九州天皇會,28600,False,S21,幸運の大桜,28400
S3,成田長親,26400,False,S23,上杉家,26600
S15,天下一品,28600,False,S15,朧桜,28400
S38,爆弾一味,26400,False,S1,巨砲爆裂,26600
S6,里見八犬伝,28600,False,S3,紅蓮の刃,28400
S52,天下布武,28600,False,S37,疾風迅雷,28400
S17,BASARA,26400,True,S21,ゆる〜く,26600
S41,大晋,28600,False,S1,風の如く,28400
S9,FM807,26400,False,S25,倭寇,26600
S7,続、不協和音,28100,False,S41,天下無双,28100
S5,臥龍戴天,25900,True,S8,九州同盟,25900
S4,Z旅団,28100,False,S19,乙女桔梗,28100
S19,遊嬉宴楽,25900,False,S31,新天地の酔蓮,25400
S41,天下無双,28100,True,S7,続、不協和音,28100
S45,鳳仙花,25900,True,S19,北陸遊撃隊,25400
S10,死兆星,28100,False,S35,光風霽月,27900
S42,ぱんころ軍,25900,True,S10,武田一族,25400
S27,遊楽庵,25900,False,S1,ショッカー,25900
S7,ひだまりの里,28100,False,S15,天真爛漫,27900
S13,明鏡止水,28100,False,S10,武装戦線,27900
S49,戦国松千代祭,25900,False,S13,曉風南薫,25400
S8,九州同盟,25900,False,S5,臥龍戴天,25900
S19,乙女桔梗,28100,True,S4,Z旅団,28100
S1,ショッカー,25900,True,S27,遊楽庵,25900
S41,自由無言同盟,28100,True,S17,RAVENS,27900
S31,新天地の酔蓮,25400,True,S19,遊嬉宴楽,25900
S13,念仏喫茶,27600,True,S25,風神雷神,27600
S8,羅針盤,27600,False,S19,玄武,27600
S13,曉風南薫,25400,True,S49,戦国松千代祭,25900
S29,寝具連合,27600,False,S2,新時代,27600
S27,ネオ・ジオン,25400,False,S6,黄昏の旅団,25400
S8,アルナ軍,27600,True,S11,【沙羅双樹】,27400
S23,摩利支天,25400,False,S41,下克上,25400
S2,新時代,27600,True,S29,寝具連合,27600
S41,下克上,25400,True,S23,摩利支天,25400
S10,武田一族,25400,False,S42,ぱんころ軍,25900
S11,土佐の山間,27600,True,S3,Rena軍,27400
S19,玄武,27600,True,S8,羅針盤,27600
S19,北陸遊撃隊,25400,False,S45,鳳仙花,25900
S25,風神雷神,27600,False,S13,念仏喫茶,27600
S6,黄昏の旅団,25400,True,S27,ネオ・ジオン,25400
S6,軍神,24900,True,S1,すき焼き同盟,24400
S7,鸞翔鳳集,27100,True,S47,義楽庵,27100
S3,神算鬼謀,27100,False,S8,和気藹々,26900
S27,ひよこ隊,24900,-1,S23,24鯖代表,24900
S13,六文銭,27100,False,S40,瑞巌寺,26900
S37,ヒゲガール,24900,True,S35,パイパニック,24400
S23,和敬静寂,27100,False,S45,ハム一族,26900
S35,おもち,24900,False,S13,関東同盟,24400
S13,四国連合,27100,False,S5,たけのこの里,26900
