Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
0,S51,新選組猫隊,19400,True,S49,戦国の休憩所,16300
1,S43,風林火山,12800,True,S37,ATK48,11700
2,S9,安芸紅葉,12800,False,S37,ぶや連合,13900
3,S50,毘沙門天,15000,False,S35,風神雷神,16100
4,S23,百鬼夜行,10600,False,S56,悪鬼羅刹,11600
5,S48,スナック森蘭,17200,True,S43,天地を喰らう,15600
6,S41,黎明,15000,False,S48,加賀野菜,16300
7,S38,Largo,10600,False,S51,織田同志会,11900
8,S46,ひみつきち,15000,False,S55,風林火山,17300
9,S40,徳川幕府,12800,False,S47,毘沙門天,13560
10,S37,ATK48,10600,False,S43,風林火山,11700
11,S35,風神雷神,17200,True,S50,毘沙門天,16100
12,S50,最後の兎,15000,False,S55,妖煌の摩天楼,17300
13,S51,天真爛漫,12800,True,S57,加賀産上,11532
14,S51,雲外蒼天,15000,False,S41,修羅,17300
15,S37,ぶや連合,15000,True,S9,安芸紅葉,13900
16,S11,楽市楽座,14500,False,S5,れいれい,15300
17,S45,日ノ本一の兵,10100,False,S54,天歌夢奏,10700
18,S39,六文銭,14500,False,S4,十万一心,15300
19,S49,毘沙門天,10198,False,S1,獅子奮迅,10900
20,S10,煌龍家,12300,False,S58,夜凪,13700
21,S44,じじいの罠,12300,False,S51,緋色の翼,12900
22,S25,風林火山2,12300,False,S48,国士無双,13800
23,S43,鷹,10100,False,S37,行雲流水,10400
24,S51,我武者羅,12300,False,S48,新翼姫,13400
25,S39,日ノ本,12202,False,S55,天使の森,12900
26,S38,シブサワ,12300,False,S41,極楽桜花,13100
27,S49,東海一,16700,False,S46,虹霧島,16800
28,S2,黄巾党,12300,True,S21,秋天一碧,10700
29,S54,呂奉先,12300,False,S42,ぱん親衛隊,12900
30,S48,新翼姫,14500,True,S51,我武者羅,13400
31,S43,天地を喰らう,14500,False,S48,スナック森蘭,16100
32,S50,晴天の霹靂,18400,True,S46,親父組,16300
33,S54,上善如水,14000,True,S49,王帝月ノ宮,12900
34,S55,天使の森,14000,True,S39,日ノ本,13302
35,S54,日本帝国,11800,False,S31,奥州守護隊,13100
36,S55,風林火山,18400,True,S46,ひみつきち,16100
37,S54,天歌夢奏,11800,True,S45,日ノ本一の兵,11200
38,S47,越後平野,16200,True,S48,くま牧場,15800
39,S42,ぱん親衛隊,14000,True,S54,呂奉先,13400
40,S55,煌黒龍,14000,False,S3,西本願寺宗家,15300
41,S53,飛翔隊,11800,False,S9,イニ義,13100
42,S54,真聖育成部隊,18400,True,S54,ピクニック,16300
43,S21,秋天一碧,9600,False,S2,黄巾党,11200
44,S49,王帝月ノ宮,11800,False,S54,上善如水,12900
45,S41,修羅,18400,True,S51,雲外蒼天,16100
46,S55,妖煌の摩天楼,18400,True,S50,最後の兎,16100
47,S51,緋色の翼,14000,True,S44,じじいの罠,13400
48,S9,挑,9100,False,S53,餓狼,9900
49,S54,ゆずまみれ,13500,False,S58,戦争屋,14200
50,S53,ほたるの里k,11300,False,S51,六文銭,12400
51,S46,虹霧島,17900,True,S49,東海一,17800
52,S55,酒と肴,13500,False,S51,青天の霹靂,14300
53,S47,秘境,11300,False,S39,攻城は昼,12681
54,S50,絶頂,13500,True,S50,鈴蘭学園,12400
55,S40,春夏秋冬倉庫,9100,False,S5,整武隊,10400
56,S51,珍棒會,11300,False,S56,島津家,12100
57,S49,鬼猫城,15700,True,S53,花魁,14600
58,S51,六文銭,13500,True,S53,ほたるの里k,12400
59,S52,三英傑,11300,False,S21,味噌カツ帝国,12100
60,S50,鈴蘭学園,11300,False,S50,絶頂,12400
61,S53,花魁,13500,False,S49,鬼猫城,14600
62,S55,竜騰虎闘,13500,False,S56,天地人,14219
63,S55,武田家,13500,True,S1,白地城,12100
64,S46,親父組,15200,False,S50,晴天の霹靂,17300
65,S53,大文字,12900,True,S47,きゃば城同盟,11879
66,S54,ピクニック,15200,False,S54,真聖育成部隊,17300
67,S50,雲心親衛隊,10800,True,S53,白夜鬼神,9700
68,S54,チカニバル2,8600,False,S5,猫もふもふ,10400
69,S55,百鬼夜行,10800,False,S55,越後社中,11900
70,S49,戦国の休憩所,15200,False,S51,新選組猫隊,18300
71,S48,ロンちゃんズ,15200,True,S44,スナイパー,13600
72,S51,織田同志会,13000,True,S38,Largo,11700
73,S52,八幡大菩薩,13000,False,S56,武装戦線,14300
74,S48,加賀野菜,17400,True,S41,黎明,16100
75,S53,白夜鬼神,8600,False,S50,雲心親衛隊,9700
76,S55,夢幻泡影,13000,False,S37,八咫烏,14800
77,S47,きゃば城同盟,10779,False,S53,大文字,11800
78,S47,りつ村,13000,False,S39,桜花爛漫,14300
79,S55,越後社中,13000,True,S55,百鬼夜行,11900
80,S52,不撓不屈,12500,False,S48,月光,13600
81,S42,立花家,12500,True,S6,新・酒池肉林,10487
82,S38,以心伝心,12568,True,S3,雛桜,10400
83,S46,夢幻の如く,12500,False,S52,煌月,13600
84,S52,煌月,14700,True,S46,夢幻の如く,13600
85,S43,白米,10400,True,S41,桃源郷サブ,9221
86,S43,武神姫,8200,False,S38,仔猫屋敷,10400
87,S54,【鏡花水月】,10400,True,S51,晴天霹靂,8800
88,S48,くま牧場,14700,False,S47,越後平野,15100
89,S47,毘沙門天,14660,True,S40,徳川幕府,13900
90,S53,不惜身命,12540,True,S9,農民,10500
91,S42,自由の翼,10200,False,S15,紅魔曇那,10900
92,S41,桃源郷サブ,8121,False,S43,白米,9300
93,S44,スナイパー,12500,False,S48,ロンちゃんズ,14100
94,S48,月光,14700,True,S52,不撓不屈,13600
95,S54,孤狼の血,8100,-1,S51,新女神転生,8900
96,S4,無給休暇,16400,True,S6,皇国軍,15300
97,S51,新女神転生,7800,-1,S54,孤狼の血,9200
98,S51,晴天霹靂,7700,False,S54,【鏡花水月】,9300
99,S11,ねこ団,14200,False,S3,Rena軍,15300
100,S53,おにぎり,9800,True,S39,昴の星,8200
101,S15,紅魔曇那,12000,True,S42,自由の翼,11300
102,S55,新信長の野望,7700,False,S57,毘・北陸軍談,7231
103,S6,皇国軍,14200,False,S4,無給休暇,15300
104,S3,西本願寺宗家,16400,True,S55,煌黒龍,15100
105,S1,獅子奮迅,12000,True,S49,毘沙門天,11298
106,S5,れいれい,16400,True,S11,楽市楽座,15600
107,S31,奥州守護隊,14200,True,S54,日本帝国,12900
108,S41,極楽桜花,14200,True,S38,シブサワ,13400
109,S3,Rena軍,16400,True,S11,ねこ団,15300
110,S9,イニ義,14200,True,S53,飛翔隊,12900
111,S4,十万一心,16400,True,S39,六文銭,15600
112,S9,農民,9400,False,S53,不惜身命,11440
113,S4,空腹虫,7300,False,S57,鬼神,7200
114,S11,水車,7300,-1,S2,戦国の休憩所,7300
115,S43,焔,9300,False,S40,伊賀甲賀忍法,9428
116,S37,八咫烏,15900,True,S55,夢幻泡影,14100
117,S38,仔猫屋敷,11500,True,S43,武神姫,9300
118,S6,薩摩集,15900,True,S56,桜花乱舞,14300
119,S8,梁山泊,11413,True,S43,ゆっくり党,9802
120,S6,とりま同盟,11500,False,S57,龍の里,12100
121,S5,整武隊,11500,True,S40,春夏秋冬倉庫,10200
122,S39,攻城は昼,13781,True,S47,秘境,12400
123,S6,新・酒池肉林,9387,False,S42,立花家,11400
124,S39,昴の星,7100,False,S53,おにぎり,8700
