,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
0,S51,新選組猫隊,18300,False,S55,風林火山,17300
1,S43,風林火山,11700,True,S25,風林火山,11200
2,S9,安芸紅葉,11700,True,S44,スナイパー,11500
3,S50,毘沙門天,16100,False,S39,六文銭,15600
4,S23,百鬼夜行,11700,True,S42,立花家,11400
5,S48,スナック森蘭,16100,True,S46,ひみつきち,16009
6,S41,黎明,13900,False,S58,戦争屋,14200
7,S38,Largo,9500,True,S49,毘沙門天,9198
8,S46,ひみつきち,16009,False,S48,スナック森蘭,16100
9,S40,徳川幕府,11752,False,S40,伊賀甲賀忍法,11628
10,S37,ATK48,9500,False,S53,葉月,9369
11,S35,風神雷神,16100,False,S48,加賀野菜,16382
12,S50,最後の兎,13900,True,S48,国士無双,13800
13,S51,天真爛漫,13900,True,S53,那月邪夢,13800
14,S51,雲外蒼天,13900,True,S48,月光,13600
15,S37,ぶや連合,13900,True,S55,夢幻泡影,14100
16,S11,楽市楽座,13400,True,S51,我武者羅,13400
17,S45,日ノ本一の兵,9057,False,S57,鬼神,9400
18,S39,六文銭,15600,True,S50,毘沙門天,16100
19,S49,毘沙門天,9198,False,S38,Largo,9500
20,S10,煌龍家,13400,True,S53,不惜身命,13544
21,S44,じじいの罠,11300,False,S52,不撓不屈,11400
22,S25,風林火山,11200,False,S43,風林火山,11700
23,S43,鷹,9100,False,S55,百鬼夜行,9700
24,S51,我武者羅,13400,False,S11,楽市楽座,13400
25,S39,日ノ本,11102,False,S53,白夜鬼神,9700
26,S38,シブサワ,11217,False,S43,白米,11500
27,S49,東海一,17800,True,S56,武装戦線,16500
28,S2,黄巾党,11116,-1,S50,雲心親衛隊,9700
29,S54,呂奉先,11200,False,S47,秘境,10200
30,S48,新翼姫,15600,True,S49,戦国の休憩所,16300
31,S43,天地を喰らう,13400,False,S54,上善如水,12900
32,S50,晴天の霹靂,17300,False,S37,八咫烏,17000
33,S54,上善如水,12900,True,S43,天地を喰らう,13400
34,S55,天使の森,12900,False,S54,日本帝国,12900
35,S54,日本帝国,12900,True,S55,天使の森,12900
36,S55,風林火山,17300,True,S51,新選組猫隊,18300
37,S54,天歌夢奏,12843,True,S47,毘沙門天,13508
38,S47,越後平野,15100,True,S6,薩摩集,14800
39,S42,ぱん親衛隊,12900,False,S1,獅子奮迅,13100
40,S55,煌黒龍,15100,False,S6,皇国軍,15300
41,S53,飛翔隊,12900,True,S51,緋色の翼,12900
42,S54,真聖育成部隊,19500,False,S3,Rena軍,17500
43,S21,秋天一碧,8584,False,S9,農民,8496
44,S49,王帝月ノ宮,10700,True,S5,猫もふもふ,10400
45,S41,修羅,19418,False,S49,鬼猫城,16800
46,S55,妖煌の摩天楼,19500,False,S3,西本願寺宗家,17500
47,S51,緋色の翼,12900,False,S53,飛翔隊,12900
48,S9,挑,8100,False,S41,桃源郷サブ,7021
49,S54,ゆずまみれ,14600,False,S21,味噌カツ帝国,14300
50,S53,ほたるの里k,12400,False,S50,鈴蘭学園,12444
51,S46,虹霧島,16849,False,S4,無給休暇,17500
52,S55,酒と肴,12400,True,S52,八幡大菩薩,11900
53,S47,秘境,10200,True,S54,呂奉先,11200
54,S50,絶頂,12356,False,S5,整武隊,12600
55,S40,春夏秋冬倉庫,8100,True,S2,戦国の休憩所,5300
56,S51,珍棒會,12400,True,S1,白地城,12100
57,S49,鬼猫城,16800,True,S41,修羅,19418
58,S51,六文銭,12400,True,S53,大文字,11800
59,S52,三英傑,12400,True,S47,きゃば城同盟,11879
60,S50,鈴蘭学園,12444,True,S53,ほたるの里k,12400
61,S53,花魁,14600,True,S39,桜花爛漫,14300
62,S55,竜騰虎闘,14600,False,S57,龍の里,14300
63,S55,武田家,14600,True,S31,奥州守護隊,15300
64,S46,親父組,14100,False,S48,ロンちゃんズ,14191
65,S53,大文字,11800,False,S51,六文銭,12400
66,S54,ピクニック,16300,False,S9,イニ義,15300
67,S50,雲心親衛隊,9700,-1,S2,黄巾党,11116
68,S54,チカニバル2,7600,-1,S55,新信長の野望,6600
69,S55,百鬼夜行,9700,True,S43,鷹,9100
70,S49,戦国の休憩所,16300,False,S48,新翼姫,15600
71,S48,ロンちゃんズ,14191,True,S46,親父組,14100
72,S51,織田同志会,11900,False,S6,とりま同盟,12600
73,S52,八幡大菩薩,11900,False,S55,酒と肴,12400
74,S48,加賀野菜,16382,True,S35,風神雷神,16100
75,S53,白夜鬼神,9700,True,S39,日ノ本,11102
76,S55,夢幻泡影,14100,False,S37,ぶや連合,13900
77,S47,きゃば城同盟,11879,False,S52,三英傑,12400
78,S47,りつ村,11900,False,S56,アルデンテ,12100
79,S55,越後社中,14100,False,S56,戦国義心,13772
80,S52,不撓不屈,11400,True,S44,じじいの罠,11300
81,S42,立花家,11400,False,S23,百鬼夜行,11700
82,S38,以心伝心,11468,True,S54,【鏡花水月】,11500
83,S46,夢幻の如く,13583,False,S11,ねこ団,13100
84,S52,煌月,15800,False,S5,れいれい,15300
85,S43,白米,11500,True,S38,シブサワ,11217
86,S43,武神姫,7200,-1,S10,まったり野望,5800
87,S54,【鏡花水月】,11500,False,S38,以心伝心,11468
88,S48,くま牧場,15800,False,S41,極楽桜花,15300
89,S47,毘沙門天,13508,False,S54,天歌夢奏,12843
90,S53,不惜身命,13544,False,S10,煌龍家,13400
91,S42,自由の翼,9200,False,S41,自田無言同盟,9400
92,S41,桃源郷サブ,7021,True,S9,挑,8100
93,S44,スナイパー,11500,False,S9,安芸紅葉,11700
94,S48,月光,13600,False,S51,雲外蒼天,13900
95,S54,孤狼の血,7100,-1,S11,水車,6400
96,S4,無給休暇,17500,True,S46,虹霧島,16849
97,S51,新女神転生,6900,-1,S4,空腹虫,6200
98,S51,晴天霹靂,8700,False,S57,毘・北陸軍談,9431
99,S11,ねこ団,13100,True,S46,夢幻の如く,13583
100,S53,おにぎり,8700,False,S10,稲葉の白兎,9400
101,S15,紅魔曇那,10900,True,S43,焔,10400
102,S55,新信長の野望,6600,-1,S54,チカニバル2,7600
103,S6,皇国軍,15300,True,S55,煌黒龍,15100
104,S3,西本願寺宗家,17500,True,S55,妖煌の摩天楼,19500
105,S1,獅子奮迅,13100,True,S42,ぱん親衛隊,12900
106,S5,れいれい,15300,True,S52,煌月,15800
107,S31,奥州守護隊,15300,False,S55,武田家,14600
108,S41,極楽桜花,15300,True,S48,くま牧場,15800
109,S3,Rena軍,17500,True,S54,真聖育成部隊,19500
110,S9,イニ義,15300,True,S54,ピクニック,16300
111,S4,十万一心,17451,True,S51,青天の霹靂,16500
112,S9,農民,8496,True,S21,秋天一碧,8584
113,S4,空腹虫,6200,-1,S51,新女神転生,6900
114,S11,水車,6400,-1,S54,孤狼の血,7100
115,S43,焔,10400,False,S15,紅魔曇那,10900
116,S37,八咫烏,17000,True,S50,晴天の霹靂,17300
117,S38,仔猫屋敷,10400,True,S53,餓狼,9900
118,S6,薩摩集,14800,False,S47,越後平野,15100
119,S8,梁山泊,10313,False,S37,行雲流水,10400
120,S6,とりま同盟,12600,True,S51,織田同志会,11900
121,S5,整武隊,12600,True,S50,絶頂,12356
122,S39,攻城は昼,14881,False,S56,暴力反対,14300
123,S6,新・酒池肉林,8287,True,S39,昴の星,6200
124,S39,昴の星,6200,False,S6,新・酒池肉林,8287
125,S5,猫もふもふ,10400,False,S49,王帝月ノ宮,10700
126,S37,行雲流水,10400,True,S8,梁山泊,10313
127,S3,雛桜,10400,False,S44,華,9900
128,S1,白地城,12100,False,S51,珍棒會,12400
129,S56,桜花乱舞,14300,False,S56,島津家,14300
130,S39,桜花爛漫,14300,False,S53,花魁,14600
131,S43,ゆっくり党,7602,True,S40,南国丸,5298
132,S56,武装戦線,16500,False,S49,東海一,17800
133,S56,アルデンテ,12100,True,S47,りつ村,11900
134,S56,島津家,14300,True,S56,桜花乱舞,14300
135,S51,青天の霹靂,16500,False,S4,十万一心,17451
136,S57,龍の里,14300,True,S55,竜騰虎闘,14600
137,S58,戦争屋,14200,True,S41,黎明,13900
138,S21,味噌カツ帝国,14300,True,S54,ゆずまみれ,14600
139,S53,餓狼,9900,False,S38,仔猫屋敷,10400
140,S44,華,9900,True,S3,雛桜,10400
141,S10,まったり野望,5800,-1,S43,武神姫,7200
142,S56,天地人,16419,True,S40,男の修行,16000
143,S56,暴力反対,14300,True,S39,攻城は昼,14881
144,S56,戦国義心,13772,True,S55,越後社中,14100
145,S58,夜凪,13700,True,S56,悪鬼羅刹,13800
146,S40,男の修行,16000,False,S56,天地人,16419
147,S57,鬼神,9400,True,S45,日ノ本一の兵,9057
148,S41,自田無言同盟,9400,True,S42,自由の翼,9200
149,S2,戦国の休憩所,5300,False,S40,春夏秋冬倉庫,8100
150,S40,伊賀甲賀忍法,11628,True,S40,徳川幕府,11752
151,S56,悪鬼羅刹,13800,False,S58,夜凪,13700
152,S57,加賀産上,11532,False,S57,竜宮城,11600
153,S40,南国丸,5298,False,S43,ゆっくり党,7602
154,S53,那月邪夢,13800,False,S51,天真爛漫,13900
155,S10,稲葉の白兎,9400,True,S53,おにぎり,8700
156,S48,国士無双,13800,False,S50,最後の兎,13900
157,S53,葉月,9369,True,S37,ATK48,9500
158,S57,毘・北陸軍談,9431,True,S51,晴天霹靂,8700
159,S57,竜宮城,11600,True,S57,加賀産上,11532
