Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S58,ミルフィーユ,18300,True,S53,ほたるの里k,16028
S50,疾風迅雷神,13943,False,S55,夢幻泡影,14600
S57,加賀産上,16100,True,S48,国士無双,17300
S43,風林火山,11700,True,S56,波瀾万丈,11888
S40,伊賀甲賀忍法,16100,False,S57,牛宮城,16100
S54,天歌夢奏,18300,True,S58,夜凪,16188
S43,焔,13900,False,S52,麒麟乃翼,14600
S56,戦国義心,13900,True,S46,真紅,13100
S51,珍棒會,16100,False,S51,雲外蒼天,18300
S7,修羅の国,13900,False,S40,花鳥風月,13400
S51,天真爛漫,13900,True,S52,八幡大菩薩,14600
S51,雲外蒼天,18300,True,S51,珍棒會,16100
S58,夜凪,16188,False,S54,天歌夢奏,18300
S53,ほたるの里k,16028,False,S58,ミルフィーユ,18300
S45,朱雀,11700,False,S41,自田無言同盟,11900
S57,牛宮城,16100,True,S40,伊賀甲賀忍法,16100
S51,六文銭,15600,True,S41,桃源郷サブ,15300
S54,十文字,13400,True,S55,天使の森,13400
S50,鈴蘭学園,15600,True,S37,是々非々,15300
S51,織田同志会,11200,True,S39,桜花爛漫,10300
S40,花鳥風月,13400,True,S7,修羅の国,13900
S42,ぱん親衛隊,11300,-1,S9,豚骨,10200
S37,ぶや連合,15656,False,S35,風神雷神,15100
S53,那月邪夢,15544,True,S59,闘源郷,15100
S48,王下七武海,15600,True,S44,華,15041
S59,アメとムチ,15600,True,S7,一寸一服,15072
S53,大文字,13400,False,S59,名湯百選,13128
S55,天使の森,13400,False,S54,十文字,13400
S10,煌龍家,11200,True,S58,竜騰虎闘,10400
S54,ピクニック,15600,False,S57,名門・小田家,15300
S48,鴻鵠の志,17800,False,S57,紫陽花,17284
S58,世界平和,13400,True,S57,薩摩隼人,13085
S57,天元突破,15100,True,S52,煌月,14600
S44,華,15041,False,S48,王下七武海,15600
S35,風神雷神,15100,True,S37,ぶや連合,15656
S7,一寸一服,15072,False,S59,アメとムチ,15600
S46,親父組,17300,False,S46,パッパ,16300
S58,天照,12900,True,S43,鷹,12600
S48,国士無双,17300,False,S57,加賀産上,16100
S42,桃色の河馬,12900,True,S59,猛虎伏草,12555
S9,安芸紅葉,12900,True,S53,不惜身命,12900
S38,Largo,12900,False,S58,鬼,12400
S53,不惜身命,12900,False,S9,安芸紅葉,12900
S38,シブサワ,10800,False,S43,ゆっくり党,10802
S59,闘源郷,15100,False,S53,那月邪夢,15544
S59,協心戮力,17300,True,S55,のらりくらり,15658
S57,紫陽花,17284,True,S48,鴻鵠の志,17800
S48,火鈴,12900,True,S52,パワハラ会議,12505
S52,煌月,14600,False,S57,天元突破,15100
S9,豚骨,10200,-1,S42,ぱん親衛隊,11300
S58,鬼,12400,True,S38,Largo,12900
S42,鏡花水月,12400,False,S45,りばてぃ,12600
S57,鬼神,12500,False,S57,華麗なる一族,12600
S39,桜花爛漫,10300,False,S51,織田同志会,11200
S52,麒麟乃翼,14600,True,S43,焔,13900
S52,八幡大菩薩,14600,False,S51,天真爛漫,13900
S56,武装戦線,12400,True,S59,星空の輝き,12600
S43,天地を喰らう,14600,True,S42,立花家,14100
S10,稲葉の白兎,14600,True,S49,鸞翔鳳集,14300
S52,喫茶安土,14600,True,S46,ひみつきち,14030
S37,ATK48,12400,False,S11,新月,11600
S55,夢幻泡影,14600,True,S50,疾風迅雷神,13943
S47,りつ村,10300,-1,S47,朱雀,11000
S45,信長の森,14600,True,S48,くま牧場,14100
S56,波瀾万丈,11888,False,S43,風林火山,11700
S42,立花家,14100,False,S43,天地を喰らう,14600
S46,ひみつきち,14030,False,S52,喫茶安土,14600
S47,秘境,9770,True,S51,我武者羅,9400
S41,自田無言同盟,11900,True,S45,朱雀,11700
S48,月光,11900,True,S50,絶頂,11900
S46,戦乱の世,11800,False,S56,パイナポー,11952
S58,ラブリー帝国,14100,False,S47,越後平野,14100
S50,絶頂,11900,False,S48,月光,11900
S49,戦国の休憩所,11900,False,S51,新女神転生,12200
S47,越後平野,14100,True,S58,ラブリー帝国,14100
S46,夢幻の如く,11900,True,S52,不撓不屈,11900
S46,パッパ,16300,True,S46,親父組,17300
S48,くま牧場,14100,False,S45,信長の森,14600
S52,不撓不屈,11900,False,S46,夢幻の如く,11900
S53,おにぎり,11900,True,S57,蝶よ華よ,11500
S4,空腹虫,9412,-1,S55,ゴイゴイスー,9499
S44,毘沙門天,9300,False,S44,眠れる獅子,9850
S57,月花,13600,False,S59,新生武神,13100
S57,蝶よ華よ,11500,False,S53,おにぎり,11900
S54,【鏡花水月】,9400,-1,S41,黎明,9300
S47,毘沙門天,11400,True,S58,きゃば城,10400
S51,我武者羅,9400,False,S47,秘境,9770
S55,越後社中,9400,-1,S58,天下布武,9961
S55,のらりくらり,15658,False,S59,協心戮力,17300
S51,緋色の翼,9499,False,S43,BB,10082
S58,ミルクレープ,11400,True,S2,黄巾党,10809
S41,黎明,9300,-1,S54,【鏡花水月】,9400
S55,ゴイゴイスー,9499,-1,S4,空腹虫,9412
S58,白米,11401,True,S25,風林火山,11391
S9,農民,9483,-1,S54,孤狼の血,9900
S25,風林火山,11391,False,S58,白米,11401
S57,名門・小田家,15300,True,S54,ピクニック,15600
S59,新生武神,13100,True,S57,月花,13600
S43,ゆっくり党,10802,True,S38,シブサワ,10800
S10,まったり野望,8998,-1,S58,一騎当千,8000
S9,挑,9000,-1,S54,竜宮城,9995
S47,朱雀,11000,-1,S47,りつ村,10300
S40,春夏秋冬倉庫,8900,-1,S39,昴の星,8400
S37,是々非々,15300,False,S50,鈴蘭学園,15600
S46,真紅,13100,False,S56,戦国義心,13900
S2,黄巾党,10809,False,S58,ミルクレープ,11400
S41,桃源郷サブ,15300,False,S51,六文銭,15600
S40,南国丸,8900,-1,S43,武神姫,8400
S57,薩摩隼人,13085,False,S58,世界平和,13400
S47,きゃば城同盟,8900,-1,S38,すしざんまい,8500
S2,戦国の休憩所,8900,-1,S51,風来坊,8400
S59,名湯百選,13128,True,S53,大文字,13400
S58,竜騰虎闘,10400,False,S10,煌龍家,11200
S53,ねこぐらし,8400,True,S42,自由の翼,8391
S39,日ノ本,8400,True,S43,デンジャー団,8400
S59,猛虎伏草,12555,False,S42,桃色の河馬,12900
S38,すしざんまい,8500,-1,S47,きゃば城同盟,8900
S43,デンジャー団,8400,False,S39,日ノ本,8400
S42,自由の翼,8391,False,S53,ねこぐらし,8400
S59,星空の輝き,12600,False,S56,武装戦線,12400
S43,武神姫,8400,-1,S40,南国丸,8900
S45,りばてぃ,12600,True,S42,鏡花水月,12400
S52,パワハラ会議,12505,False,S48,火鈴,12900
S58,きゃば城,10400,False,S47,毘沙門天,11400
S51,風来坊,8400,-1,S2,戦国の休憩所,8900
S43,鷹,12600,False,S58,天照,12900
S39,昴の星,8400,-1,S40,春夏秋冬倉庫,8900
S57,華麗なる一族,12600,True,S57,鬼神,12500
S44,第七師団,8000,-1,S52,zoo,8000
S58,一騎当千,8000,-1,S10,まったり野望,8998
S49,鸞翔鳳集,14300,False,S10,稲葉の白兎,14600
S56,麦わらの一味,7900,-1,S56,踊,7500
S45,天神,7900,-1,S47,れいの家畜,7500
