Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S58,ミルフィーユ,21600,False,S55,夢幻泡影,19000
S50,疾風迅雷神,15043,False,S53,ほたるの里k,16028
S57,加賀産上,19400,True,S54,天歌夢奏,20500
S43,風林火山,15000,True,S42,立花家,14100
S40,伊賀甲賀忍法,12800,False,S47,越後平野,14087
S54,天歌夢奏,19400,False,S57,加賀産上,18300
S43,焔,10600,True,S44,眠れる獅子,9662
S56,戦国義心,15000,True,S37,是々非々,13100
S51,珍棒會,17200,True,S46,夢幻の如く,16300
S7,修羅の国,10681,False,S53,ねこぐらし,10600
S51,天真爛漫,15000,False,S58,夜凪,16188
S51,雲外蒼天,23800,True,S59,闘源郷,17300
S58,夜凪,17288,True,S51,天真爛漫,16100
S53,ほたるの里k,17128,True,S50,疾風迅雷神,16143
S45,朱雀,6522,False,S25,風林火山,7290
S57,牛宮城,19400,False,S11,月花,18200
S51,六文銭,16700,True,S48,鴻鵠の志,15600
S54,十文字,14500,True,S55,のらりくらり,13458
S50,鈴蘭学園,16700,True,S48,王下七武海,15600
S51,織田同志会,12300,True,S43,ゆっくり党,10703
S40,花鳥風月,14419,False,S52,八幡大菩薩,16800
S42,ぱん親衛隊,12600,True,S41,自田無言同盟,11780
S37,ぶや連合,14456,True,S57,月花,13661
S53,那月邪夢,14444,False,S11,新月,16000
S48,王下七武海,14500,False,S50,鈴蘭学園,15600
S59,アメとムチ,18900,True,S48,国士無双,17300
S53,大文字,14500,True,S10,煌龍家,13400
S55,天使の森,10100,False,S44,華,10704
S10,煌龍家,12300,False,S53,大文字,13400
S54,ピクニック,14500,False,S19,播州猛虎会,15900
S48,鴻鵠の志,14500,False,S51,六文銭,15600
S58,世界平和,13400,False,S48,火鈴,15100
S57,天元突破,16200,False,S57,紫陽花,17284
S44,華,11804,True,S55,天使の森,11200
S35,風神雷神,16200,False,S57,名門・小田家,17500
S7,一寸一服,13972,True,S56,波瀾万丈,11888
S46,親父組,16200,True,S9,安芸紅葉,15100
S58,天照,11900,-1,S37,ATK48,12400
S48,国士無双,16200,False,S59,アメとムチ,17800
S42,桃色の河馬,14000,True,S49,戦国の休憩所,11900
S9,安芸紅葉,14000,False,S46,親父組,15100
S38,Largo,14000,True,S56,武装戦線,12400
S53,不惜身命,14000,True,S41,桃源郷サブ,13200
