Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S15,覇将府,23900,True,S33,クロ一家,23000
S11,【沙羅双樹】,26100,True,S23,天運懺悔,24500
S37,武尊会,23900,False,S38,天下統一,24500
S13,月華美刀,26100,True,S15,和国一門,24200
S38,二天一流道場,28300,True,S13,六文銭,28900
S8,幻影旅団,23900,True,S41,極楽桜花,23200
S4,Z旅団,28300,False,S52,天下布武,28400
S10,八咫烏,26100,True,S3,天神風,25400
S33,徳川光圀,26100,False,S50,玉砕,28400
S23,鬼神,28293,True,S45,鳳仙花,27900
S27,ネオ・ジオン,26100,True,S45,聖帝銃士隊,25614
S42,さつまいも,26100,False,S47,義楽庵,28900
S31,珍遊記,26100,True,S40,蒼炎,25400
S42,ぱんころ軍,26100,True,S11,関東ニャン組,25700
S1,すき焼き同盟,28247,True,S42,網走幼稚園,26700
S39,武田騎馬隊,26153,True,S47,錦の御旗,25786
S15,合縁奇縁,23407,True,S15,ゆるキャン,22500
S5,陽炎,23400,False,S5,れいれい,24900
S23,雷迅雷鳴,23400,True,S19,新撰組,22700
S6,ヴェルサーチ,25600,True,S7,歌舞伎衆,24200
S35,義義義,21200,False,S19,翠虎軍,22500
S13,六文銭,27800,False,S38,二天一流道場,27200
S23,天運懺悔,23400,False,S11,【沙羅双樹】,25000
S1,楽しく遊ぼう,23400,False,S19,無道,24700
S3,キャベツ太郎,25600,True,S45,爪紅,24200
S42,網走幼稚園,25600,False,S1,すき焼き同盟,27147
S38,天下統一,25600,True,S37,武尊会,25000
S29,百花繚乱,27800,True,S4,月夜の光,26700
S4,月夜の光,25600,False,S29,百花繚乱,26700
S25,四魔貴族,21200,False,S41,破天荒,22689
S47,義楽庵,30000,True,S42,さつまいも,27200
S21,戦国の夜明け,21200,False,S40,朱雀,22500
S25,晴耕雨読,22900,False,S19,維新の嵐,23200
S52,天下布武,29500,True,S4,Z旅団,29400
S38,百折不撓,20700,False,S45,雪月花,22000
S43,モヒカン団,22900,True,S9,八百万の民,21500
S21,ゆる〜く,25100,False,S33,破軍の星,26400
S2,花,22900,True,S4,天空の華園,21500
S39,毘、北陸軍談,25100,True,S17,薔薇園,24000
S48,加賀百万石,25100,True,S29,白夜の風,23500
S21,蝉時雨,25100,True,S17,漆黒の軍団,23500
S17,薔薇園,22900,False,S39,毘、北陸軍談,24000
S17,三方原,22900,True,S45,関東警備,22000
S50,玉砕,29500,True,S33,徳川光圀,27200
S13,ジェダイ,22906,False,S46,黒龍,23500
S8,わくわく広場,22894,False,S50,雲心月性,23500
S25,漢隊,25100,True,S1,大和政権,23700
S5,華笠衆,25100,True,S9,黒母衣衆,23500
S11,鎮西一,20200,False,S25,慈愛への旅路,20811
S49,春夏秋冬,22400,True,S25,梅恋峰,20800
S47,錦の御旗,24686,False,S39,武田騎馬隊,25053
S45,聖帝銃士隊,24514,False,S27,ネオ・ジオン,25000
S46,黒龍,24600,True,S13,ジェダイ,24006
S29,白夜の風,22400,False,S48,加賀百万石,24000
S50,雲心月性,24600,True,S8,わくわく広場,23994
S47,新撰組,22400,True,S31,天鵞絨葵,20500
S41,天下無双,26800,True,S39,花鳥風月,25200
S11,関東ニャン組,24600,False,S42,ぱんころ軍,25000
S9,黒母衣衆,22400,False,S5,華笠衆,24000
S17,漆黒の軍団,22400,False,S21,蝉時雨,24000
S43,コアラの行進,24600,False,S41,自由無言同盟,25200
S43,まほろば,22400,True,S25,武神,20800
S9,月華,20200,False,S9,イニ義,20500
S45,鳳仙花,26800,False,S23,鬼神,27193
S29,感謝祭,21900,False,S44,蒼天,23000
S35,魔法陣,19700,False,S2,相模国,21000
S45,飛春の野望,21900,False,S35,上杉家,22700
S25,梅恋峰,19700,False,S49,春夏秋冬,21300
S39,花鳥風月,24100,False,S41,天下無双,25700
S44,蒼天,24100,True,S29,感謝祭,23000
S25,慈愛への旅路,21911,True,S11,鎮西一,21300
S33,クロ一家,21900,False,S15,覇将府,22800
S11,天下布武1,19700,True,S5,豆柴,19200
S51,猪鹿蝶,24100,False,S53,神々の系譜,25200
S53,神々の系譜,26300,True,S51,猪鹿蝶,25200
S35,八重椿,19700,False,S7,駿河,20500
S25,武神,19700,False,S43,まほろば,21300
S52,仁月,24100,True,S41,はのはの,22700
S13,万里一空,19700,True,S21,白浜,17700
S41,自由無言同盟,26300,True,S43,コアラの行進,25700
S40,百鬼夜行,21400,True,S33,聖ライス皇国,19300
S29,一番槍,17000,False,S3,鬼兵隊,19300
S27,山ノ手社畜,19200,False,S8,惡質,19800
S15,ぺろり一門,21400,True,S38,侃侃貫徹,19800
S19,翠虎軍,23600,True,S35,義義義,22300
S15,ゆるキャン,21400,False,S15,合縁奇縁,22307
S19,無道,25800,True,S1,楽しく遊ぼう,24500
S13,関東同盟,23600,True,S17,千本桜,22500
S21,蟹江警備隊,21400,True,S27,桜本隊大本営,19800
S17,千本桜,21400,False,S13,関東同盟,22500
S40,朱雀,23600,True,S21,戦国の夜明け,22300
