Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S15,覇将府,25000,False,S4,月夜の光,24500
S11,【沙羅双樹】,27200,False,S50,玉砕,28400
S37,武尊会,22800,True,S11,関東ニャン組,23500
S13,月華美刀,27200,False,S52,天下布武,30600
S38,二天一流道場,27200,False,S40,蒼炎,25400
S8,幻影旅団,22800,False,S8,暇潰倶楽部,23200
S4,Z旅団,27200,True,S42,ぱんころ軍,27200
S10,八咫烏,27200,True,S1,すき焼き同盟,29347
S33,徳川光圀,27200,True,S29,百花繚乱,28900
S23,鬼神,27193,True,S45,聖帝銃士隊,25614
S27,ネオ・ジオン,25000,True,S6,ヴェルサーチ,24500
S42,さつまいも,27200,True,S45,鳳仙花,27900
S31,珍遊記,27200,False,S39,武田騎馬隊,27253
S42,ぱんころ軍,27200,False,S4,Z旅団,27200
S1,すき焼き同盟,29347,False,S10,八咫烏,27200
S39,武田騎馬隊,27253,True,S31,珍遊記,27200
S15,合縁奇縁,22307,True,S48,鷹の団,22500
S5,陽炎,22300,True,S7,駿河,22700
S23,雷迅雷鳴,22300,True,S35,義義義,22300
S6,ヴェルサーチ,24500,False,S27,ネオ・ジオン,25000
S35,義義義,22300,False,S23,雷迅雷鳴,22300
S13,六文銭,26700,False,S47,錦の御旗,25786
S23,天運懺悔,24500,False,S48,加賀百万石,24000
S1,楽しく遊ぼう,24500,True,S38,天下統一,24500
S3,キャベツ太郎,24500,True,S5,華笠衆,24000
S42,網走幼稚園,24500,True,S39,花鳥風月,25200
S38,天下統一,24500,False,S1,楽しく遊ぼう,24500
S29,百花繚乱,28900,False,S33,徳川光圀,27200
S4,月夜の光,24500,True,S15,覇将府,25000
S25,四魔貴族,22300,False,S40,百鬼夜行,22500
S47,義楽庵,31100,False,S33,破軍の星,28600
S21,戦国の夜明け,20100,False,S31,北陸帝国,19300
S25,晴耕雨読,21800,False,S45,英国国教会,22000
S52,天下布武,30600,True,S13,月華美刀,27200
S38,百折不撓,19600,False,S33,白夜の砦,19300
S43,モヒカン団,21800,True,S8,惡質,22000
S21,ゆる〜く,26200,False,S3,Rena軍,25400
S2,花,21800,True,S29,白夜の風,21300
S39,毘、北陸軍談,26200,False,S25,漢隊,26200
S48,加賀百万石,24000,True,S23,天運懺悔,24500
S21,蝉時雨,24000,False,S45,爪紅,24200
S17,薔薇園,24000,True,S45,勇往邁進,24200
S17,三方原,24000,True,S48,笑点,24200
S50,玉砕,28400,True,S11,【沙羅双樹】,27200
S13,ジェダイ,24006,True,S47,新撰組,23500
S8,わくわく広場,23994,False,S15,和国一門,24200
S25,漢隊,26200,True,S39,毘、北陸軍談,26200
S5,華笠衆,24000,False,S3,キャベツ太郎,24500
S11,鎮西一,21300,True,S45,雪月花,22000
S49,春夏秋冬,23473,False,S9,イニ義,22700
S47,錦の御旗,25786,True,S13,六文銭,26700
S45,聖帝銃士隊,25614,False,S23,鬼神,27193
S46,黒龍,23500,True,S43,コアラの行進,23500
S29,白夜の風,21300,False,S2,花,21800
S50,雲心月性,25700,False,S41,天下無双,25700
S47,新撰組,23500,False,S13,ジェダイ,24006
S41,天下無双,25700,True,S50,雲心月性,25700
S11,関東ニャン組,23500,False,S37,武尊会,22800
S9,黒母衣衆,21300,False,S9,月華,21300
S17,漆黒の軍団,23500,True,S19,維新の嵐,23200
S43,コアラの行進,23500,False,S46,黒龍,23500
S43,まほろば,21300,True,S23,天衣無縫,22000
S9,月華,21300,True,S9,黒母衣衆,21300
S45,鳳仙花,27900,False,S42,さつまいも,27200
S29,感謝祭,23000,False,S41,極楽桜花,23200
S35,魔法陣,20800,True,S19,新撰組,20500
S45,飛春の野望,23000,True,S33,クロ一家,23000
S25,梅恋峰,20827,False,S21,百鬼夜行新生,21000
S39,花鳥風月,25200,False,S42,網走幼稚園,24500
S44,蒼天,25200,False,S19,無道,26900
S25,慈愛への旅路,23011,False,S2,相模国,23200
S33,クロ一家,23000,False,S45,飛春の野望,23000
S11,天下布武1,18600,True,S29,戦国自衛隊,19300
S51,猪鹿蝶,25200,False,S46,蒼穹,24900
S53,神々の系譜,25200,False,S6,つの将軍,24900
S35,八重椿,18600,False,S10,覇王,14500
S25,武神,20800,True,S17,千本桜,20300
S52,仁月,25200,True,S5,れいれい,24900
S13,万里一空,18600,True,S47,島津連合,17000
S41,自由無言同盟,25200,True,S51,青天の霹靂,24900
S40,百鬼夜行,22500,True,S25,四魔貴族,22300
S29,一番槍,18100,True,S48,行雲流水,17100
S27,山ノ手社畜,18100,True,S37,千心夢楽,14500
S15,ぺろり一門,20300,False,S2,ママの野望,21000
S19,翠虎軍,22500,False,S13,関東同盟,22500
S15,ゆるキャン,20300,False,S5,シモちゃん,20500
S19,無道,26900,True,S44,蒼天,25200
S13,関東同盟,22500,True,S19,翠虎軍,22500
S21,蟹江警備隊,22500,False,S40,朱雀,22500
S17,千本桜,20300,False,S25,武神,20800
S40,朱雀,22500,True,S21,蟹江警備隊,22500
S48,鷹の団,22500,False,S15,合縁奇縁,22307
S21,九州酔狂連,18100,False,S7,薩長同盟,18300
S42,相模国,18100,True,S37,XJAPAN,15000
S6,創造主,18100,True,S46,農家牧場物語,17100
S27,鉄華団,22500,True,S9,漢龍関,22000
S33,破軍の星,28600,True,S47,義楽庵,31100
S8,惡質,22000,False,S43,モヒカン団,21800
S7,歌舞伎衆,22000,True,S1,大和政権,21500
S45,爪紅,24200,True,S21,蝉時雨,24000
S48,笑点,24200,False,S17,三方原,24000
S9,漢龍関,22000,False,S27,鉄華団,22500
S45,英国国教会,22000,True,S25,晴耕雨読,21800
S45,関東警備,19800,True,S5,豆柴,19200
S38,侃侃貫徹,19800,True,S9,八百万の民,19300
S15,和国一門,24200,True,S8,わくわく広場,23994
S27,桜本隊大本営,19800,True,S33,聖ライス皇国,19300
S2,一騎当千,22000,True,S31,雅治の家,21500
S45,雪月花,22000,False,S11,鎮西一,21300
S21,白浜,15500,False,S39,RE・梁山泊,17100
S45,勇往邁進,24200,False,S17,薔薇園,24000
S23,天衣無縫,22000,False,S43,まほろば,21300
S39,RE・梁山泊,17100,True,S21,白浜,15500
S3,鬼兵隊,19300,True,S38,猫屋敷,19300
S1,大和政権,21500,False,S7,歌舞伎衆,22000
S38,猫屋敷,19300,False,S3,鬼兵隊,19300
S31,雅治の家,21500,False,S2,一騎当千,22000
S33,聖ライス皇国,19300,False,S27,桜本隊大本営,19800
S4,天空の華園,19300,True,S11,月夜,18800
S33,白夜の砦,19300,True,S38,百折不撓,19600
S9,八百万の民,19300,False,S38,侃侃貫徹,19800
S29,戦国自衛隊,19300,False,S11,天下布武1,18600
S5,豆柴,19200,False,S45,関東警備,19800
S31,北陸帝国,19300,True,S21,戦国の夜明け,20100
S47,島津連合,17000,False,S13,万里一空,18600
S48,行雲流水,17100,False,S29,一番槍,18100
S46,農家牧場物語,17100,False,S6,創造主,18100
S37,XJAPAN,15000,False,S42,相模国,18100
S9,イニ義,22700,True,S49,春夏秋冬,23473
S6,つの将軍,24900,True,S53,神々の系譜,25200
S35,上杉家,22700,True,S41,破天荒,22689
S5,れいれい,24900,False,S52,仁月,25200
S51,青天の霹靂,24900,False,S41,自由無言同盟,25200
S7,薩長同盟,18300,True,S21,九州酔狂連,18100
S31,天鵞絨葵,20500,False,S39,攻城は昼,21000
S41,はのはの,20500,True,S23,天下人,20500
S46,蒼穹,24900,True,S51,猪鹿蝶,25200
S5,シモちゃん,20500,True,S15,ゆるキャン,20300
S7,駿河,22700,False,S5,陽炎,22300
S19,新撰組,20500,False,S35,魔法陣,20800
S23,天下人,20500,False,S41,はのはの,20500
S27,四国連合,20500,False,S42,朱雀,20500
S42,朱雀,20500,True,S27,四国連合,20500
S41,破天荒,22689,False,S35,上杉家,22700
S19,維新の嵐,23200,False,S17,漆黒の軍団,23500
S2,ママの野望,21000,True,S15,ぺろり一門,20300
S40,蒼炎,25400,True,S38,二天一流道場,27200
S3,Rena軍,25400,True,S21,ゆる〜く,26200
S11,月夜,18800,False,S4,天空の華園,19300
S11,杜鵑,25400,True,S3,天神風,25400
S5,六文銭,23200,True,S3,毘沙門天,23200
S10,覇王,14500,True,S35,八重椿,18600
S8,暇潰倶楽部,23200,True,S8,幻影旅団,22800
S37,千心夢楽,14500,False,S27,山ノ手社畜,18100
S3,天神風,25400,False,S11,杜鵑,25400
