level,power,date
30,635.3,2023-09-11
30,610.2,2023-09-11
27,520.0,2023-09-11
29,508.4,2023-09-11
28,507.8,2023-09-11
27,486.5,2023-09-11
30,473.5,2023-09-11
28,457.4,2023-09-11
30,446.7,2023-09-11
30,436.9,2023-09-11
28,423.5,2023-09-11
27,421.4,2023-09-11
27,405.4,2023-09-11
29,400.7,2023-09-11
29,399.9,2023-09-11
27,375.4,2023-09-11
30,371.1,2023-09-11
27,367.5,2023-09-11
27,357.1,2023-09-11
27,347.2,2023-09-11
23,345.5,2023-09-11
30,344.5,2023-09-11
29,343.9,2023-09-11
28,341.2,2023-09-11
25,339.0,2023-09-11
27,336.5,2023-09-11
28,335.9,2023-09-11
28,334.0,2023-09-11
26,327.2,2023-09-11
25,325.6,2023-09-11
26,320.1,2023-09-11
27,319.9,2023-09-11
29,317.0,2023-09-11
25,317.0,2023-09-11
29,303.0,2023-09-11
27,297.5,2023-09-11
25,294.5,2023-09-11
28,288.8,2023-09-11
27,285.9,2023-09-11
27,284.2,2023-09-11
25,275.9,2023-09-11
27,275.1,2023-09-11
25,266.9,2023-09-11
26,247.7,2023-09-11
25,234.3,2023-09-11
26,222.5,2023-09-11
25,203.1,2023-09-11
25,198.1,2023-09-11
25,190.8,2023-09-11
23,169.1,2023-09-11
24,131.0,2023-09-11
