level,power,date
30,922.6,2023-06-20
30,808.0,2023-06-20
30,786.1,2023-06-20
30,783.9,2023-06-20
30,774.4,2023-06-20
30,760.0,2023-06-20
30,757.9,2023-06-20
30,749.8,2023-06-20
30,745.2,2023-06-20
30,721.3,2023-06-20
30,716.3,2023-06-20
30,712.4,2023-06-20
30,710.7,2023-06-20
30,706.8,2023-06-20
30,698.8,2023-06-20
30,692.9,2023-06-20
30,689.6,2023-06-20
30,681.4,2023-06-20
30,673.8,2023-06-20
30,664.8,2023-06-20
30,650.7,2023-06-20
30,644.0,2023-06-20
30,641.3,2023-06-20
30,635.0,2023-06-20
30,631.4,2023-06-20
30,619.2,2023-06-20
30,617.5,2023-06-20
30,617.0,2023-06-20
30,614.6,2023-06-20
30,614.4,2023-06-20
30,607.9,2023-06-20
30,602.2,2023-06-20
30,589.3,2023-06-20
30,588.5,2023-06-20
30,587.1,2023-06-20
30,586.3,2023-06-20
30,582.9,2023-06-20
30,573.8,2023-06-20
30,566.7,2023-06-20
30,563.3,2023-06-20
30,556.2,2023-06-20
30,545.3,2023-06-20
30,534.8,2023-06-20
30,529.8,2023-06-20
30,527.2,2023-06-20
30,519.3,2023-06-20
30,516.7,2023-06-20
30,508.0,2023-06-20
30,503.0,2023-06-20
29,487.3,2023-06-20
30,486.1,2023-06-20
30,484.4,2023-06-20
30,455.7,2023-06-20
29,451.8,2023-06-20
30,448.7,2023-06-20
30,448.1,2023-06-20
28,419.9,2023-06-20
29,410.1,2023-06-20
28,382.7,2023-06-20
27,365.0,2023-06-20
28,351.1,2023-06-20
29,340.8,2023-06-20
26,268.9,2023-06-20
