level,power,date
30,658.4,2023-06-15
30,615.4,2023-06-15
30,581.1,2023-06-15
30,566.8,2023-06-15
30,566.5,2023-06-15
28,535.8,2023-06-15
28,511.5,2023-06-15
30,508.1,2023-06-15
30,500.0,2023-06-15
30,498.2,2023-06-15
30,479.1,2023-06-15
30,470.3,2023-06-15
30,470.2,2023-06-15
30,470.2,2023-06-15
30,466.6,2023-06-15
30,466.3,2023-06-15
30,465.0,2023-06-15
30,462.4,2023-06-15
30,455.1,2023-06-15
29,454.6,2023-06-15
29,448.7,2023-06-15
30,447.6,2023-06-15
28,435.8,2023-06-15
29,432.2,2023-06-15
28,420.4,2023-06-15
29,419.7,2023-06-15
29,419.2,2023-06-15
29,417.2,2023-06-15
26,414.3,2023-06-15
30,412.9,2023-06-15
29,411.4,2023-06-15
26,404.9,2023-06-15
30,403.3,2023-06-15
26,403.0,2023-06-15
29,399.6,2023-06-15
28,396.1,2023-06-15
30,394.3,2023-06-15
29,390.6,2023-06-15
28,382.9,2023-06-15
29,381.0,2023-06-15
30,370.3,2023-06-15
28,369.1,2023-06-15
25,368.7,2023-06-15
27,368.0,2023-06-15
26,350.3,2023-06-15
28,349.9,2023-06-15
26,330.1,2023-06-15
26,323.2,2023-06-15
26,320.3,2023-06-15
27,311.1,2023-06-15
27,309.2,2023-06-15
27,306.7,2023-06-15
25,305.0,2023-06-15
25,302.1,2023-06-15
26,298.7,2023-06-15
26,295.5,2023-06-15
26,292.3,2023-06-15
25,289.1,2023-06-15
26,278.6,2023-06-15
25,276.1,2023-06-15
26,248.4,2023-06-15
25,239.4,2023-06-15
24,211.1,2023-06-15
25,204.5,2023-06-15
22,185.9,2023-06-15
24,184.2,2023-06-15
25,150.1,2023-06-15
