level,power,date
30,637.0,2023-06-15
30,624.9,2023-06-15
30,618.6,2023-06-15
30,616.1,2023-06-15
30,613.9,2023-06-15
30,608.7,2023-06-15
30,606.0,2023-06-15
30,604.6,2023-06-15
30,591.3,2023-06-15
30,587.8,2023-06-15
30,578.5,2023-06-15
30,570.9,2023-06-15
30,567.8,2023-06-15
30,559.3,2023-06-15
30,552.3,2023-06-15
30,549.7,2023-06-15
30,545.5,2023-06-15
30,521.7,2023-06-15
29,519.5,2023-06-15
30,518.9,2023-06-15
30,518.2,2023-06-15
30,510.7,2023-06-15
30,507.7,2023-06-15
30,505.4,2023-06-15
29,497.9,2023-06-15
30,492.6,2023-06-15
30,492.2,2023-06-15
30,491.7,2023-06-15
30,481.4,2023-06-15
30,477.6,2023-06-15
30,476.6,2023-06-15
28,468.9,2023-06-15
30,468.2,2023-06-15
30,462.4,2023-06-15
29,461.8,2023-06-15
28,460.4,2023-06-15
28,459.9,2023-06-15
30,459.8,2023-06-15
28,452.3,2023-06-15
29,450.4,2023-06-15
30,442.9,2023-06-15
30,442.4,2023-06-15
29,432.0,2023-06-15
30,430.4,2023-06-15
28,421.8,2023-06-15
30,418.1,2023-06-15
29,415.1,2023-06-15
28,409.0,2023-06-15
29,407.4,2023-06-15
28,405.9,2023-06-15
29,401.5,2023-06-15
30,397.9,2023-06-15
28,392.4,2023-06-15
27,379.1,2023-06-15
27,375.9,2023-06-15
29,374.6,2023-06-15
29,367.7,2023-06-15
29,367.1,2023-06-15
25,354.2,2023-06-15
29,336.1,2023-06-15
29,312.6,2023-06-15
29,304.0,2023-06-15
27,269.7,2023-06-15
26,253.2,2023-06-15
