level,power,date
31,832.2,2023-09-11
32,781.2,2023-09-11
31,772.6,2023-09-11
31,768.1,2023-09-11
32,747.1,2023-09-11
32,745.3,2023-09-11
32,743.1,2023-09-11
31,720.1,2023-09-11
31,705.7,2023-09-11
30,677.2,2023-09-11
30,670.3,2023-09-11
31,669.4,2023-09-11
31,669.3,2023-09-11
31,666.9,2023-09-11
30,633.7,2023-09-11
30,623.2,2023-09-11
30,612.1,2023-09-11
30,610.8,2023-09-11
32,603.6,2023-09-11
30,591.8,2023-09-11
30,589.7,2023-09-11
30,587.2,2023-09-11
31,578.7,2023-09-11
30,578.1,2023-09-11
30,577.6,2023-09-11
30,575.5,2023-09-11
30,573.5,2023-09-11
30,573.4,2023-09-11
30,571.1,2023-09-11
31,569.0,2023-09-11
30,567.9,2023-09-11
30,562.4,2023-09-11
30,555.2,2023-09-11
30,555.0,2023-09-11
30,554.8,2023-09-11
30,551.3,2023-09-11
30,550.5,2023-09-11
29,541.8,2023-09-11
30,540.3,2023-09-11
30,529.4,2023-09-11
30,526.6,2023-09-11
30,524.3,2023-09-11
30,523.1,2023-09-11
29,520.4,2023-09-11
29,519.8,2023-09-11
30,518.6,2023-09-11
27,477.4,2023-09-11
28,461.3,2023-09-11
30,456.6,2023-09-11
30,455.5,2023-09-11
30,454.5,2023-09-11
28,454.1,2023-09-11
26,445.1,2023-09-11
29,427.5,2023-09-11
26,415.4,2023-09-11
30,409.2,2023-09-11
25,408.3,2023-09-11
30,396.7,2023-09-11
27,350.7,2023-09-11
28,332.7,2023-09-11
27,322.4,2023-09-11
28,317.0,2023-09-11
25,315.8,2023-09-11
28,310.0,2023-09-11
27,291.0,2023-09-11
23,194.9,2023-09-11
24,191.0,2023-09-11
