,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,549.5,2023-05-26
1,1,1,1,1,1,30,503.4,2023-05-26
2,2,2,2,2,2,30,606.9,2023-05-26
3,3,3,3,3,3,29,558.2,2023-05-26
4,4,4,4,4,4,30,494.5,2023-05-26
5,5,5,5,5,5,30,493.9,2023-05-26
6,6,6,6,6,6,28,448.7,2023-05-26
7,7,7,7,7,7,21,96.2,2023-05-26
8,8,8,8,8,8,30,559.5,2023-05-26
9,9,9,9,9,9,30,542.0,2023-05-26
10,10,10,10,10,10,30,482.8,2023-05-26
11,11,11,11,11,11,30,440.9,2023-05-26
12,12,12,12,12,12,24,327.9,2023-05-26
13,13,13,13,13,13,29,395.4,2023-05-26
14,14,14,14,14,14,30,466.0,2023-05-26
15,15,15,15,15,15,30,432.3,2023-05-26
16,16,16,16,16,16,28,385.6,2023-05-26
17,17,17,17,17,17,21,125.8,2023-05-26
18,18,18,18,18,18,29,349.9,2023-05-26
19,19,19,19,19,19,30,557.6,2023-05-26
20,20,20,20,20,20,30,481.9,2023-05-26
21,21,21,21,21,21,30,503.0,2023-05-26
22,22,22,22,22,22,30,487.4,2023-05-26
23,23,23,23,23,23,30,419.9,2023-05-26
24,24,24,24,24,24,30,584.9,2023-05-26
25,25,25,25,25,25,30,514.2,2023-05-26
26,26,26,26,26,26,29,433.5,2023-05-26
27,27,27,27,27,27,30,444.2,2023-05-26
28,28,28,28,28,28,30,549.1,2023-05-26
29,29,29,29,29,29,30,466.8,2023-05-26
30,30,30,30,30,30,27,391.0,2023-05-26
31,31,31,31,31,31,30,469.2,2023-05-26
32,32,32,32,32,32,30,493.5,2023-05-26
33,33,33,33,33,33,27,317.3,2023-05-26
34,34,34,34,34,34,30,488.5,2023-05-26
35,35,35,35,35,35,21,87.9,2023-05-26
36,36,36,36,36,36,30,377.7,2023-05-26
37,37,37,37,37,37,30,426.8,2023-05-26
38,38,38,38,38,38,30,573.5,2023-05-26
39,39,39,39,39,39,29,379.0,2023-05-26
40,40,40,40,40,40,29,429.0,2023-05-26
41,41,41,41,41,41,29,420.1,2023-05-26
42,42,42,42,42,42,25,274.6,2023-05-26
43,43,43,43,43,43,27,359.9,2023-05-26
44,44,44,44,44,44,29,420.9,2023-05-26
45,45,45,45,45,45,26,192.0,2023-05-26
46,46,46,46,46,46,30,581.5,2023-05-26
47,47,47,47,47,47,30,538.1,2023-05-26
48,48,48,48,48,48,29,394.0,2023-05-26
49,49,49,49,49,49,30,343.0,2023-05-26
50,50,50,50,50,50,26,309.5,2023-05-26
51,51,51,51,51,51,29,389.4,2023-05-26
52,52,52,52,52,52,24,307.0,2023-05-26
53,53,53,53,53,53,30,482.0,2023-05-26
54,54,54,54,54,54,30,344.8,2023-05-26
55,55,55,55,55,55,28,397.6,2023-05-26
56,56,56,56,56,56,30,414.1,2023-05-26
57,57,57,57,57,57,28,384.3,2023-05-26
58,58,58,58,58,58,28,380.0,2023-05-26
59,59,59,59,59,59,30,470.0,2023-05-26
60,60,60,60,60,60,29,362.3,2023-05-26
61,61,61,61,61,61,30,622.3,2023-05-26
