level,power,date
30,581.0,2023-06-23
30,515.1,2023-06-23
28,506.3,2023-06-23
30,477.9,2023-06-23
29,466.6,2023-06-23
30,462.2,2023-06-23
30,456.3,2023-06-23
30,443.1,2023-06-23
28,442.9,2023-06-23
29,417.5,2023-06-23
30,408.8,2023-06-23
29,401.7,2023-06-23
28,398.0,2023-06-23
28,374.2,2023-06-23
27,368.6,2023-06-23
29,359.0,2023-06-23
25,351.5,2023-06-23
26,337.6,2023-06-23
26,335.4,2023-06-23
28,335.2,2023-06-23
27,332.0,2023-06-23
29,326.8,2023-06-23
27,321.7,2023-06-23
25,294.8,2023-06-23
27,275.6,2023-06-23
27,272.8,2023-06-23
26,271.6,2023-06-23
28,271.0,2023-06-23
26,264.1,2023-06-23
27,252.8,2023-06-23
26,246.8,2023-06-23
25,244.7,2023-06-23
24,237.3,2023-06-23
27,234.0,2023-06-23
25,226.1,2023-06-23
27,221.5,2023-06-23
26,209.7,2023-06-23
25,187.3,2023-06-23
25,181.2,2023-06-23
23,177.5,2023-06-23
23,166.3,2023-06-23
23,137.9,2023-06-23
22,137.8,2023-06-23
21,104.9,2023-06-23
22,92.6,2023-06-23
21,82.2,2023-06-23
20,71.2,2023-06-23
19,61.5,2023-06-23
19,58.9,2023-06-23
19,51.4,2023-06-23
15,27.7,2023-06-23
