level,power,date
32,800.8,2023-10-08
32,776.9,2023-10-08
31,761.0,2023-10-08
30,751.1,2023-10-08
31,744.6,2023-10-08
32,743.8,2023-10-08
31,709.7,2023-10-08
31,708.6,2023-10-08
31,706.6,2023-10-08
31,692.5,2023-10-08
31,689.5,2023-10-08
30,671.7,2023-10-08
31,663.1,2023-10-08
31,637.2,2023-10-08
29,633.7,2023-10-08
30,632.4,2023-10-08
30,615.1,2023-10-08
30,607.1,2023-10-08
30,577.6,2023-10-08
29,576.2,2023-10-08
30,573.1,2023-10-08
30,563.8,2023-10-08
30,562.7,2023-10-08
31,552.3,2023-10-08
30,551.0,2023-10-08
29,548.4,2023-10-08
30,546.1,2023-10-08
30,520.6,2023-10-08
30,520.2,2023-10-08
30,514.3,2023-10-08
30,506.8,2023-10-08
29,506.2,2023-10-08
30,497.3,2023-10-08
30,489.9,2023-10-08
30,485.8,2023-10-08
30,477.3,2023-10-08
30,440.4,2023-10-08
28,437.6,2023-10-08
27,427.8,2023-10-08
29,421.8,2023-10-08
30,419.5,2023-10-08
30,415.1,2023-10-08
30,413.9,2023-10-08
29,396.1,2023-10-08
28,394.9,2023-10-08
29,394.8,2023-10-08
29,387.8,2023-10-08
30,378.9,2023-10-08
29,366.2,2023-10-08
30,356.1,2023-10-08
29,353.5,2023-10-08
26,350.8,2023-10-08
27,339.5,2023-10-08
29,339.4,2023-10-08
28,332.9,2023-10-08
28,311.5,2023-10-08
27,305.1,2023-10-08
29,303.6,2023-10-08
29,292.5,2023-10-08
29,291.8,2023-10-08
30,288.4,2023-10-08
27,276.4,2023-10-08
25,272.2,2023-10-08
25,174.9,2023-10-08
21,157.3,2023-10-08
24,118.9,2023-10-08
