level,power,date
30,854.4,2023-06-20
30,728.6,2023-06-20
30,692.5,2023-06-20
30,688.5,2023-06-20
30,686.6,2023-06-20
30,684.3,2023-06-20
30,678.9,2023-06-20
30,674.7,2023-06-20
30,664.3,2023-06-20
30,660.7,2023-06-20
30,656.1,2023-06-20
30,651.7,2023-06-20
30,649.7,2023-06-20
30,648.2,2023-06-20
30,646.3,2023-06-20
30,641.5,2023-06-20
30,637.0,2023-06-20
30,634.5,2023-06-20
30,632.2,2023-06-20
30,617.5,2023-06-20
30,611.6,2023-06-20
30,607.2,2023-06-20
30,595.6,2023-06-20
30,583.1,2023-06-20
30,582.8,2023-06-20
30,581.0,2023-06-20
30,576.8,2023-06-20
30,576.0,2023-06-20
30,575.1,2023-06-20
30,571.3,2023-06-20
30,571.2,2023-06-20
30,566.5,2023-06-20
30,565.9,2023-06-20
30,544.2,2023-06-20
30,538.1,2023-06-20
30,537.1,2023-06-20
30,522.9,2023-06-20
30,510.8,2023-06-20
30,502.9,2023-06-20
30,499.2,2023-06-20
30,487.5,2023-06-20
30,472.8,2023-06-20
30,472.6,2023-06-20
30,469.2,2023-06-20
30,467.5,2023-06-20
27,454.0,2023-06-20
30,444.4,2023-06-20
30,438.7,2023-06-20
30,437.3,2023-06-20
29,427.2,2023-06-20
30,425.6,2023-06-20
29,425.0,2023-06-20
30,423.6,2023-06-20
30,421.4,2023-06-20
29,402.5,2023-06-20
30,399.9,2023-06-20
30,395.3,2023-06-20
29,380.7,2023-06-20
30,377.5,2023-06-20
30,352.7,2023-06-20
29,346.1,2023-06-20
30,345.2,2023-06-20
28,328.4,2023-06-20
27,262.3,2023-06-20
