level,power,date
30,694.8,2023-07-12
30,667.2,2023-07-12
30,648.9,2023-07-12
30,641.7,2023-07-12
30,637.4,2023-07-12
30,617.5,2023-07-12
30,605.8,2023-07-12
30,598.9,2023-07-12
30,593.4,2023-07-12
30,589.0,2023-07-12
30,589.0,2023-07-12
30,577.7,2023-07-12
30,565.5,2023-07-12
30,560.6,2023-07-12
30,556.3,2023-07-12
30,554.0,2023-07-12
30,553.2,2023-07-12
30,526.5,2023-07-12
30,523.2,2023-07-12
30,522.8,2023-07-12
30,515.6,2023-07-12
30,458.2,2023-07-12
29,456.7,2023-07-12
30,442.5,2023-07-12
27,420.1,2023-07-12
30,419.9,2023-07-12
29,418.4,2023-07-12
30,417.2,2023-07-12
30,410.9,2023-07-12
30,410.5,2023-07-12
30,402.9,2023-07-12
29,350.1,2023-07-12
28,338.7,2023-07-12
25,328.7,2023-07-12
27,304.1,2023-07-12
