level,power,date
30,725.0,2023-06-20
30,659.0,2023-06-20
30,645.1,2023-06-20
30,631.9,2023-06-20
30,620.6,2023-06-20
30,609.2,2023-06-20
30,604.2,2023-06-20
30,603.3,2023-06-20
30,598.8,2023-06-20
30,598.0,2023-06-20
30,580.9,2023-06-20
30,569.6,2023-06-20
30,564.4,2023-06-20
30,526.8,2023-06-20
30,517.3,2023-06-20
30,506.8,2023-06-20
30,490.8,2023-06-20
30,483.4,2023-06-20
30,482.9,2023-06-20
30,482.7,2023-06-20
30,479.9,2023-06-20
29,476.5,2023-06-20
30,461.8,2023-06-20
29,446.5,2023-06-20
30,441.3,2023-06-20
30,433.9,2023-06-20
28,425.1,2023-06-20
27,423.6,2023-06-20
28,422.2,2023-06-20
27,420.6,2023-06-20
30,417.5,2023-06-20
29,414.8,2023-06-20
29,400.6,2023-06-20
28,397.8,2023-06-20
29,390.8,2023-06-20
28,385.1,2023-06-20
28,384.9,2023-06-20
30,382.8,2023-06-20
29,374.7,2023-06-20
27,374.7,2023-06-20
26,357.1,2023-06-20
30,352.3,2023-06-20
29,346.4,2023-06-20
28,344.6,2023-06-20
27,340.1,2023-06-20
29,335.7,2023-06-20
26,334.6,2023-06-20
28,329.5,2023-06-20
28,328.5,2023-06-20
27,320.2,2023-06-20
28,319.7,2023-06-20
26,317.0,2023-06-20
28,314.0,2023-06-20
27,313.1,2023-06-20
26,312.3,2023-06-20
28,310.1,2023-06-20
26,309.1,2023-06-20
27,301.0,2023-06-20
27,284.0,2023-06-20
25,271.4,2023-06-20
25,215.3,2023-06-20
28,213.6,2023-06-20
25,196.1,2023-06-20
23,151.4,2023-06-20
22,129.1,2023-06-20
21,127.6,2023-06-20
21,70.2,2023-06-20
