level,power,date
30,722.1,2023-06-15
30,681.8,2023-06-15
30,657.8,2023-06-15
30,649.1,2023-06-15
30,631.7,2023-06-15
30,631.1,2023-06-15
30,624.5,2023-06-15
30,599.3,2023-06-15
30,598.7,2023-06-15
30,594.8,2023-06-15
30,581.6,2023-06-15
30,570.6,2023-06-15
30,565.6,2023-06-15
30,556.3,2023-06-15
30,550.2,2023-06-15
30,542.4,2023-06-15
30,540.0,2023-06-15
30,535.3,2023-06-15
30,531.1,2023-06-15
30,519.0,2023-06-15
30,517.6,2023-06-15
30,514.9,2023-06-15
30,502.7,2023-06-15
30,502.2,2023-06-15
30,502.0,2023-06-15
28,484.2,2023-06-15
30,463.8,2023-06-15
30,443.9,2023-06-15
30,420.0,2023-06-15
28,411.9,2023-06-15
27,401.2,2023-06-15
30,394.9,2023-06-15
27,386.8,2023-06-15
30,384.5,2023-06-15
29,383.0,2023-06-15
29,345.0,2023-06-15
29,322.9,2023-06-15
29,299.5,2023-06-15
28,290.3,2023-06-15
29,267.8,2023-06-15
