level,power,date
33,849.5,2023-10-25
32,844.5,2023-10-25
33,830.6,2023-10-25
33,830.2,2023-10-25
32,830.1,2023-10-25
33,821.5,2023-10-25
32,819.1,2023-10-25
33,809.0,2023-10-25
32,803.5,2023-10-25
33,803.4,2023-10-25
32,802.8,2023-10-25
32,801.0,2023-10-25
33,795.7,2023-10-25
32,791.5,2023-10-25
32,788.9,2023-10-25
32,787.0,2023-10-25
32,784.2,2023-10-25
32,783.7,2023-10-25
32,783.4,2023-10-25
32,764.6,2023-10-25
32,764.2,2023-10-25
33,761.8,2023-10-25
32,758.0,2023-10-25
32,757.5,2023-10-25
31,745.0,2023-10-25
31,744.2,2023-10-25
32,737.2,2023-10-25
32,735.4,2023-10-25
32,734.8,2023-10-25
33,725.8,2023-10-25
32,723.5,2023-10-25
32,722.7,2023-10-25
32,722.3,2023-10-25
31,709.7,2023-10-25
30,703.7,2023-10-25
31,703.4,2023-10-25
30,699.5,2023-10-25
32,694.5,2023-10-25
32,685.4,2023-10-25
32,684.2,2023-10-25
32,680.7,2023-10-25
32,679.6,2023-10-25
32,677.6,2023-10-25
32,674.5,2023-10-25
32,671.8,2023-10-25
32,670.7,2023-10-25
31,656.8,2023-10-25
31,647.3,2023-10-25
31,642.3,2023-10-25
31,626.0,2023-10-25
31,624.0,2023-10-25
30,616.3,2023-10-25
31,610.0,2023-10-25
31,603.6,2023-10-25
31,602.6,2023-10-25
31,593.5,2023-10-25
31,578.3,2023-10-25
30,556.5,2023-10-25
30,538.6,2023-10-25
31,536.3,2023-10-25
30,520.1,2023-10-25
30,506.3,2023-10-25
30,495.1,2023-10-25
30,484.5,2023-10-25
31,462.8,2023-10-25
30,445.5,2023-10-25
28,339.3,2023-10-25
27,335.1,2023-10-25
23,210.3,2023-10-25
24,136.2,2023-10-25
