level,power,date
31,807.0,2023-10-08
32,806.8,2023-10-08
32,802.0,2023-10-08
32,801.3,2023-10-08
32,793.2,2023-10-08
32,792.0,2023-10-08
32,777.0,2023-10-08
32,774.9,2023-10-08
32,773.7,2023-10-08
33,770.2,2023-10-08
32,766.9,2023-10-08
33,766.5,2023-10-08
31,766.1,2023-10-08
32,741.7,2023-10-08
31,733.3,2023-10-08
32,732.7,2023-10-08
32,718.5,2023-10-08
30,714.4,2023-10-08
32,711.9,2023-10-08
32,709.6,2023-10-08
32,694.0,2023-10-08
32,686.1,2023-10-08
31,675.5,2023-10-08
30,671.0,2023-10-08
31,664.9,2023-10-08
31,661.7,2023-10-08
30,660.8,2023-10-08
32,659.6,2023-10-08
31,655.9,2023-10-08
31,655.3,2023-10-08
32,653.4,2023-10-08
31,651.0,2023-10-08
31,647.6,2023-10-08
31,647.5,2023-10-08
31,646.1,2023-10-08
31,628.7,2023-10-08
31,628.4,2023-10-08
30,626.1,2023-10-08
30,625.9,2023-10-08
31,616.5,2023-10-08
31,610.6,2023-10-08
31,608.7,2023-10-08
31,589.4,2023-10-08
30,552.2,2023-10-08
29,548.4,2023-10-08
29,543.4,2023-10-08
30,541.8,2023-10-08
30,541.4,2023-10-08
30,540.0,2023-10-08
29,529.1,2023-10-08
30,508.9,2023-10-08
30,495.0,2023-10-08
30,488.2,2023-10-08
30,483.7,2023-10-08
30,483.5,2023-10-08
29,455.1,2023-10-08
29,429.8,2023-10-08
30,419.3,2023-10-08
30,389.4,2023-10-08
