level,power,date
30,794.7,2023-06-26
30,756.9,2023-06-26
30,715.3,2023-06-26
30,681.8,2023-06-26
30,679.4,2023-06-26
30,668.7,2023-06-26
30,664.9,2023-06-26
30,655.9,2023-06-26
30,651.9,2023-06-26
30,646.7,2023-06-26
30,633.0,2023-06-26
30,615.4,2023-06-26
30,614.7,2023-06-26
30,597.3,2023-06-26
30,596.5,2023-06-26
30,590.5,2023-06-26
30,580.2,2023-06-26
30,578.0,2023-06-26
29,566.6,2023-06-26
30,560.2,2023-06-26
30,558.6,2023-06-26
30,555.2,2023-06-26
30,554.2,2023-06-26
30,553.8,2023-06-26
30,549.0,2023-06-26
30,541.9,2023-06-26
30,539.1,2023-06-26
30,535.1,2023-06-26
29,530.7,2023-06-26
30,527.5,2023-06-26
30,525.2,2023-06-26
30,520.0,2023-06-26
30,520.0,2023-06-26
29,502.2,2023-06-26
28,500.3,2023-06-26
30,495.0,2023-06-26
30,492.2,2023-06-26
29,489.9,2023-06-26
30,489.5,2023-06-26
28,485.2,2023-06-26
30,483.9,2023-06-26
30,469.6,2023-06-26
30,468.9,2023-06-26
30,467.3,2023-06-26
30,462.6,2023-06-26
30,459.3,2023-06-26
30,458.6,2023-06-26
30,451.7,2023-06-26
29,446.9,2023-06-26
30,436.2,2023-06-26
28,430.5,2023-06-26
29,427.7,2023-06-26
30,414.7,2023-06-26
30,412.8,2023-06-26
30,402.1,2023-06-26
27,387.8,2023-06-26
29,382.7,2023-06-26
28,359.2,2023-06-26
29,356.2,2023-06-26
27,343.3,2023-06-26
29,332.6,2023-06-26
28,292.1,2023-06-26
26,273.5,2023-06-26
