level,power,date
30,654.0,2023-08-03
30,638.7,2023-08-03
28,535.7,2023-08-03
30,471.4,2023-08-03
29,449.6,2023-08-03
30,440.1,2023-08-03
27,439.6,2023-08-03
29,430.8,2023-08-03
29,422.9,2023-08-03
30,408.6,2023-08-03
27,403.3,2023-08-03
30,401.3,2023-08-03
30,400.7,2023-08-03
29,395.0,2023-08-03
29,386.9,2023-08-03
30,384.6,2023-08-03
27,381.0,2023-08-03
28,380.5,2023-08-03
26,377.6,2023-08-03
29,363.0,2023-08-03
28,361.5,2023-08-03
30,359.7,2023-08-03
25,350.3,2023-08-03
27,346.8,2023-08-03
27,344.2,2023-08-03
26,343.6,2023-08-03
27,336.1,2023-08-03
27,334.6,2023-08-03
28,327.4,2023-08-03
28,325.7,2023-08-03
27,325.5,2023-08-03
26,302.5,2023-08-03
25,301.5,2023-08-03
25,294.9,2023-08-03
27,284.8,2023-08-03
27,283.4,2023-08-03
26,281.5,2023-08-03
27,265.5,2023-08-03
27,262.7,2023-08-03
25,255.0,2023-08-03
26,251.9,2023-08-03
28,224.97,2023-08-03
24,202.8,2023-08-03
23,186.5,2023-08-03
22,182.3,2023-08-03
26,179.4,2023-08-03
24,150.3,2023-08-03
9,18.4,2023-08-03
