level,power,date
31,811.4,2023-09-11
32,799.4,2023-09-11
31,768.4,2023-09-11
30,750.2,2023-09-11
31,743.2,2023-09-11
32,739.4,2023-09-11
31,732.4,2023-09-11
32,729.9,2023-09-11
31,729.7,2023-09-11
31,726.9,2023-09-11
31,710.3,2023-09-11
32,708.7,2023-09-11
31,685.2,2023-09-11
30,678.7,2023-09-11
31,675.7,2023-09-11
30,663.7,2023-09-11
30,663.0,2023-09-11
30,661.5,2023-09-11
31,658.6,2023-09-11
30,648.3,2023-09-11
30,644.8,2023-09-11
31,642.7,2023-09-11
31,634.6,2023-09-11
30,628.1,2023-09-11
30,626.9,2023-09-11
30,619.3,2023-09-11
30,616.1,2023-09-11
30,612.8,2023-09-11
30,609.7,2023-09-11
29,608.5,2023-09-11
30,603.8,2023-09-11
30,601.7,2023-09-11
30,598.8,2023-09-11
30,590.8,2023-09-11
30,584.7,2023-09-11
31,581.8,2023-09-11
30,577.6,2023-09-11
30,568.4,2023-09-11
30,562.3,2023-09-11
30,558.4,2023-09-11
30,554.8,2023-09-11
30,553.2,2023-09-11
30,552.9,2023-09-11
30,550.9,2023-09-11
31,549.4,2023-09-11
30,542.9,2023-09-11
30,527.0,2023-09-11
30,526.1,2023-09-11
31,525.5,2023-09-11
30,524.5,2023-09-11
30,518.6,2023-09-11
30,507.8,2023-09-11
30,481.9,2023-09-11
30,468.6,2023-09-11
30,458.8,2023-09-11
30,457.7,2023-09-11
27,437.6,2023-09-11
28,430.0,2023-09-11
30,408.5,2023-09-11
27,397.7,2023-09-11
29,393.2,2023-09-11
30,374.3,2023-09-11
26,374.3,2023-09-11
30,370.7,2023-09-11
29,368.8,2023-09-11
29,362.0,2023-09-11
29,344.4,2023-09-11
27,341.9,2023-09-11
28,321.0,2023-09-11
