level,power,date
30,792.4,2023-07-03
30,723.4,2023-07-03
30,715.2,2023-07-03
30,712.8,2023-07-03
30,687.0,2023-07-03
30,685.1,2023-07-03
30,677.2,2023-07-03
30,661.8,2023-07-03
30,646.0,2023-07-03
30,644.6,2023-07-03
30,643.1,2023-07-03
30,639.9,2023-07-03
30,630.6,2023-07-03
30,630.5,2023-07-03
30,619.3,2023-07-03
30,618.8,2023-07-03
30,601.0,2023-07-03
30,597.4,2023-07-03
30,580.8,2023-07-03
30,579.5,2023-07-03
30,558.5,2023-07-03
30,545.9,2023-07-03
30,527.7,2023-07-03
30,523.0,2023-07-03
30,501.0,2023-07-03
30,500.5,2023-07-03
28,497.3,2023-07-03
30,490.1,2023-07-03
30,480.8,2023-07-03
30,472.5,2023-07-03
30,469.4,2023-07-03
30,458.6,2023-07-03
30,452.6,2023-07-03
30,450.8,2023-07-03
29,444.5,2023-07-03
29,444.0,2023-07-03
30,441.1,2023-07-03
29,439.8,2023-07-03
30,432.2,2023-07-03
30,406.7,2023-07-03
30,402.0,2023-07-03
29,401.3,2023-07-03
30,396.4,2023-07-03
29,381.5,2023-07-03
26,370.7,2023-07-03
28,370.7,2023-07-03
27,370.5,2023-07-03
26,369.8,2023-07-03
29,369.5,2023-07-03
27,362.5,2023-07-03
26,347.8,2023-07-03
29,327.9,2023-07-03
27,323.2,2023-07-03
27,322.4,2023-07-03
29,320.8,2023-07-03
27,316.5,2023-07-03
28,286.1,2023-07-03
28,249.4,2023-07-03
25,222.6,2023-07-03
23,198.9,2023-07-03
22,94.1,2023-07-03
