Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,30,465.2,2023-06-02
1,1,1,1,1,1,1,1,1,1,1,1,30,647.1,2023-06-02
2,2,2,2,2,2,2,2,2,2,2,2,30,545.1,2023-06-02
3,3,3,3,3,3,3,3,3,3,3,3,30,511.5,2023-06-02
4,4,4,4,4,4,4,4,4,4,4,4,30,660.8,2023-06-02
5,5,5,5,5,5,5,5,5,5,5,5,30,670.1,2023-06-02
6,6,6,6,6,6,6,6,6,6,6,6,30,638.9,2023-06-02
7,7,7,7,7,7,7,7,7,7,7,7,30,585.8,2023-06-02
8,8,8,8,8,8,8,8,8,8,8,8,30,571.5,2023-06-02
9,9,9,9,9,9,9,9,9,9,9,9,30,568.2,2023-06-02
10,10,10,10,10,10,10,10,10,10,10,10,30,541.2,2023-06-02
11,11,11,11,11,11,11,11,11,11,11,11,30,515.7,2023-06-02
12,12,12,12,12,12,12,12,12,12,12,12,30,370.1,2023-06-02
13,13,13,13,13,13,13,13,13,13,13,13,29,296.5,2023-06-02
14,14,14,14,14,14,14,14,14,14,14,14,28,362.8,2023-06-02
15,15,15,15,15,15,15,15,15,15,15,15,30,523.8,2023-06-02
16,16,16,16,16,16,16,16,16,16,16,16,29,399.3,2023-06-02
17,17,17,17,17,17,17,17,17,17,17,17,30,547.5,2023-06-02
18,18,18,18,18,18,18,18,18,18,18,18,30,476.9,2023-06-02
19,19,19,19,19,19,19,19,19,19,19,19,30,430.2,2023-06-02
20,20,20,20,20,20,20,20,20,20,20,20,30,619.6,2023-06-02
21,21,21,21,21,21,21,21,21,21,21,21,28,385.9,2023-06-02
22,22,22,22,22,22,22,22,22,22,22,22,30,529.4,2023-06-02
23,23,23,23,23,23,23,23,23,23,23,23,30,591.7,2023-06-02
24,24,24,24,24,24,24,24,24,24,24,24,30,550.2,2023-06-02
25,25,25,25,25,25,25,25,25,25,25,25,30,584.9,2023-06-02
26,26,26,26,26,26,26,26,26,26,26,26,21,130.7,2023-06-02
27,27,27,27,27,27,27,27,27,27,27,27,30,560.6,2023-06-02
28,28,28,28,28,28,28,28,28,28,28,28,27,394.1,2023-06-02
29,29,29,29,29,29,29,29,29,29,29,29,30,521.2,2023-06-02
30,30,30,30,30,30,30,30,30,30,30,30,30,461.5,2023-06-02
31,31,31,31,31,31,31,31,31,31,31,31,30,559.0,2023-06-02
32,32,32,32,32,32,32,32,32,32,32,32,30,489.8,2023-06-02
33,33,33,33,33,33,33,33,33,33,33,33,30,596.5,2023-06-02
34,34,34,34,34,34,34,34,34,34,34,34,28,322.4,2023-06-02
35,35,35,35,35,35,35,35,35,35,35,35,30,445.7,2023-06-02
36,36,36,36,36,36,36,36,36,36,36,36,28,343.4,2023-06-02
37,37,37,37,37,37,37,37,37,37,37,37,20,80.6,2023-06-02
38,38,38,38,38,38,38,38,38,38,38,38,30,454.3,2023-06-02
39,39,39,39,39,39,39,39,39,39,39,39,30,498.0,2023-06-02
40,40,40,40,40,40,40,40,40,40,40,40,30,608.9,2023-06-02
41,41,41,41,41,41,41,41,41,41,41,41,26,379.7,2023-06-02
42,42,42,42,42,42,42,42,42,42,42,42,28,461.0,2023-06-02
43,43,43,43,43,43,43,43,43,43,43,43,26,398.0,2023-06-02
44,44,44,44,44,44,44,44,44,44,44,44,29,388.1,2023-06-02
45,45,45,45,45,45,45,45,45,45,45,45,29,309.2,2023-06-02
46,46,46,46,46,46,46,46,46,46,46,46,29,448.6,2023-06-02
47,47,47,47,47,47,47,47,47,47,47,47,30,425.8,2023-06-02
48,48,48,48,48,48,48,48,48,48,48,48,25,248.7,2023-06-02
49,49,49,49,49,49,49,49,49,49,49,49,26,287.6,2023-06-02
50,50,50,50,50,50,50,50,50,50,50,50,24,293.4,2023-06-02
51,51,51,51,51,51,51,51,51,51,51,51,27,272.9,2023-06-02
52,52,52,52,52,52,52,52,52,52,52,52,26,214.3,2023-06-02
53,53,53,53,53,53,53,53,53,53,53,53,30,501.1,2023-06-02
54,54,54,54,54,54,54,54,54,54,54,54,30,421.8,2023-06-02
55,55,55,55,55,55,55,55,55,55,55,55,28,396.5,2023-06-02
56,56,56,56,56,56,56,56,56,56,56,56,24,259.7,2023-06-02
57,57,57,57,57,57,57,57,57,57,57,57,28,348.7,2023-06-02
58,58,58,58,58,58,58,58,58,58,58,58,25,269.8,2023-06-02
