level,power,date
30,617.1,2023-06-15
30,593.1,2023-06-15
30,583.9,2023-06-15
30,569.8,2023-06-15
30,556.5,2023-06-15
30,544.9,2023-06-15
30,538.8,2023-06-15
30,538.1,2023-06-15
30,529.5,2023-06-15
30,489.3,2023-06-15
29,483.4,2023-06-15
30,474.8,2023-06-15
29,473.1,2023-06-15
30,472.1,2023-06-15
28,469.0,2023-06-15
28,452.6,2023-06-15
28,448.3,2023-06-15
30,444.1,2023-06-15
28,442.0,2023-06-15
30,433.2,2023-06-15
30,430.2,2023-06-15
29,427.9,2023-06-15
29,424.7,2023-06-15
30,422.9,2023-06-15
28,420.7,2023-06-15
29,419.8,2023-06-15
30,413.7,2023-06-15
30,402.5,2023-06-15
27,401.5,2023-06-15
26,400.3,2023-06-15
29,399.4,2023-06-15
28,399.3,2023-06-15
29,385.2,2023-06-15
30,370.1,2023-06-15
28,354.5,2023-06-15
27,344.0,2023-06-15
29,342.9,2023-06-15
30,339.5,2023-06-15
29,337.6,2023-06-15
28,336.6,2023-06-15
29,332.4,2023-06-15
30,324.2,2023-06-15
27,319.6,2023-06-15
27,316.8,2023-06-15
29,315.9,2023-06-15
28,315.7,2023-06-15
29,313.6,2023-06-15
29,305.9,2023-06-15
29,300.9,2023-06-15
27,267.2,2023-06-15
29,255.8,2023-06-15
27,216.6,2023-06-15
