level,power,date
33,1098.0,2023-10-25
32,935.1,2023-10-25
32,932.1,2023-10-25
32,912.4,2023-10-25
32,897.9,2023-10-25
33,897.3,2023-10-25
32,888.0,2023-10-25
32,877.5,2023-10-25
32,876.9,2023-10-25
33,872.8,2023-10-25
33,855.9,2023-10-25
32,844.0,2023-10-25
33,840.7,2023-10-25
32,834.7,2023-10-25
32,830.9,2023-10-25
32,830.7,2023-10-25
32,820.6,2023-10-25
33,810.3,2023-10-25
32,807.0,2023-10-25
32,804.2,2023-10-25
32,798.7,2023-10-25
32,787.2,2023-10-25
32,778.8,2023-10-25
32,778.1,2023-10-25
32,777.9,2023-10-25
32,771.0,2023-10-25
32,756.0,2023-10-25
32,749.3,2023-10-25
33,747.4,2023-10-25
33,743.5,2023-10-25
32,738.4,2023-10-25
32,736.5,2023-10-25
33,722.5,2023-10-25
32,717.4,2023-10-25
32,709.1,2023-10-25
32,705.3,2023-10-25
31,704.8,2023-10-25
32,701.0,2023-10-25
32,697.2,2023-10-25
32,694.0,2023-10-25
32,692.3,2023-10-25
33,688.4,2023-10-25
32,688.0,2023-10-25
32,680.7,2023-10-25
32,676.1,2023-10-25
32,671.3,2023-10-25
32,665.3,2023-10-25
31,665.0,2023-10-25
31,661.7,2023-10-25
32,657.7,2023-10-25
30,654.3,2023-10-25
31,649.5,2023-10-25
30,648.8,2023-10-25
32,646.7,2023-10-25
31,630.9,2023-10-25
31,628.0,2023-10-25
32,615.2,2023-10-25
32,602.1,2023-10-25
31,596.9,2023-10-25
30,595.1,2023-10-25
31,589.1,2023-10-25
31,587.1,2023-10-25
30,585.2,2023-10-25
31,582.2,2023-10-25
30,575.4,2023-10-25
31,530.5,2023-10-25
31,508.6,2023-10-25
29,428.1,2023-10-25
30,416.5,2023-10-25
