level,power,date
30,736.9,2023-06-26
30,697.9,2023-06-26
30,668.8,2023-06-26
30,655.1,2023-06-26
30,643.1,2023-06-26
30,641.1,2023-06-26
30,619.4,2023-06-26
30,614.2,2023-06-26
30,610.3,2023-06-26
30,600.2,2023-06-26
30,583.6,2023-06-26
30,568.9,2023-06-26
30,568.4,2023-06-26
30,563.1,2023-06-26
30,562.4,2023-06-26
30,555.0,2023-06-26
30,554.0,2023-06-26
30,552.8,2023-06-26
30,545.4,2023-06-26
30,544.4,2023-06-26
30,539.9,2023-06-26
30,536.1,2023-06-26
30,530.6,2023-06-26
30,529.6,2023-06-26
30,520.7,2023-06-26
30,517.7,2023-06-26
30,517.5,2023-06-26
30,503.5,2023-06-26
30,502.2,2023-06-26
30,502.1,2023-06-26
30,484.9,2023-06-26
30,481.4,2023-06-26
29,477.4,2023-06-26
29,477.4,2023-06-26
30,463.2,2023-06-26
28,462.8,2023-06-26
30,461.1,2023-06-26
29,460.9,2023-06-26
30,447.3,2023-06-26
29,441.8,2023-06-26
30,439.4,2023-06-26
30,436.2,2023-06-26
30,432.0,2023-06-26
30,429.2,2023-06-26
30,421.6,2023-06-26
28,416.8,2023-06-26
29,416.1,2023-06-26
30,412.6,2023-06-26
29,409.0,2023-06-26
29,396.7,2023-06-26
29,388.3,2023-06-26
29,380.5,2023-06-26
28,375.3,2023-06-26
27,360.5,2023-06-26
28,358.9,2023-06-26
29,357.2,2023-06-26
27,352.3,2023-06-26
27,350.8,2023-06-26
27,347.0,2023-06-26
28,344.7,2023-06-26
28,339.0,2023-06-26
29,331.5,2023-06-26
28,328.3,2023-06-26
28,312.4,2023-06-26
28,232.2,2023-06-26
27,193.5,2023-06-26
24,163.6,2023-06-26
