level,power,date
30,737.0,2023-06-09
30,659.9,2023-06-09
30,653.2,2023-06-09
30,644.5,2023-06-09
30,627.9,2023-06-09
30,621.2,2023-06-09
30,618.3,2023-06-09
30,576.2,2023-06-09
30,572.1,2023-06-09
30,569.3,2023-06-09
30,562.9,2023-06-09
30,561.0,2023-06-09
30,560.7,2023-06-09
30,558.0,2023-06-09
30,550.5,2023-06-09
30,549.8,2023-06-09
30,548.2,2023-06-09
30,539.7,2023-06-09
30,539.6,2023-06-09
30,532.7,2023-06-09
30,530.1,2023-06-09
30,529.1,2023-06-09
30,519.6,2023-06-09
29,502.7,2023-06-09
30,499.5,2023-06-09
30,495.7,2023-06-09
30,489.7,2023-06-09
30,484.6,2023-06-09
30,471.1,2023-06-09
27,468.1,2023-06-09
29,466.4,2023-06-09
30,464.4,2023-06-09
30,453.7,2023-06-09
30,431.3,2023-06-09
30,424.2,2023-06-09
29,421.3,2023-06-09
27,404.5,2023-06-09
29,389.8,2023-06-09
28,384.6,2023-06-09
30,382.3,2023-06-09
29,370.1,2023-06-09
29,362.8,2023-06-09
29,359.0,2023-06-09
29,325.4,2023-06-09
25,310.7,2023-06-09
30,294.2,2023-06-09
26,254.6,2023-06-09
25,180.5,2023-06-09
22,138.4,2023-06-09
17,48.1,2023-06-09
