level,power,date
30,821.3,2023-06-20
30,768.4,2023-06-20
30,761.6,2023-06-20
30,731.2,2023-06-20
30,709.2,2023-06-20
30,702.5,2023-06-20
30,699.3,2023-06-20
30,690.9,2023-06-20
30,684.7,2023-06-20
30,684.6,2023-06-20
30,678.5,2023-06-20
30,675.2,2023-06-20
30,667.8,2023-06-20
30,666.9,2023-06-20
30,666.4,2023-06-20
30,665.3,2023-06-20
30,659.6,2023-06-20
30,657.8,2023-06-20
30,651.5,2023-06-20
30,643.5,2023-06-20
30,617.3,2023-06-20
30,614.0,2023-06-20
30,603.9,2023-06-20
30,585.9,2023-06-20
30,582.3,2023-06-20
30,550.9,2023-06-20
30,525.0,2023-06-20
30,517.9,2023-06-20
30,508.4,2023-06-20
30,487.2,2023-06-20
30,485.7,2023-06-20
30,484.0,2023-06-20
30,478.7,2023-06-20
30,476.1,2023-06-20
30,475.0,2023-06-20
30,462.2,2023-06-20
29,456.1,2023-06-20
29,451.5,2023-06-20
30,445.7,2023-06-20
30,444.6,2023-06-20
30,439.5,2023-06-20
30,426.9,2023-06-20
29,424.6,2023-06-20
29,423.6,2023-06-20
30,422.2,2023-06-20
30,418.7,2023-06-20
29,413.8,2023-06-20
30,413.5,2023-06-20
30,413.4,2023-06-20
28,400.7,2023-06-20
29,391.4,2023-06-20
28,373.8,2023-06-20
30,372.2,2023-06-20
26,346.7,2023-06-20
29,342.9,2023-06-20
29,337.7,2023-06-20
29,331.6,2023-06-20
28,290.6,2023-06-20
28,266.7,2023-06-20
27,232.6,2023-06-20
29,231.6,2023-06-20
28,215.2,2023-06-20
25,197.1,2023-06-20
23,159.0,2023-06-20
24,150.6,2023-06-20
23,140.9,2023-06-20
23,116.0,2023-06-20
