level,power,date
31,915.6,2023-08-03
31,907.3,2023-08-03
31,834.0,2023-08-03
30,803.2,2023-08-03
30,786.0,2023-08-03
31,771.5,2023-08-03
31,750.4,2023-08-03
30,740.4,2023-08-03
30,729.8,2023-08-03
30,727.4,2023-08-03
31,719.5,2023-08-03
31,706.5,2023-08-03
30,695.5,2023-08-03
30,695.2,2023-08-03
31,693.5,2023-08-03
30,685.9,2023-08-03
30,684.2,2023-08-03
30,669.0,2023-08-03
30,669.0,2023-08-03
30,663.8,2023-08-03
30,662.4,2023-08-03
30,661.7,2023-08-03
30,652.5,2023-08-03
30,643.3,2023-08-03
30,641.0,2023-08-03
30,637.8,2023-08-03
30,637.6,2023-08-03
30,637.6,2023-08-03
30,633.7,2023-08-03
30,633.4,2023-08-03
30,633.2,2023-08-03
30,630.5,2023-08-03
31,627.5,2023-08-03
30,626.3,2023-08-03
30,625.7,2023-08-03
30,624.6,2023-08-03
31,620.7,2023-08-03
30,615.6,2023-08-03
30,613.0,2023-08-03
30,605.4,2023-08-03
30,603.4,2023-08-03
30,596.5,2023-08-03
30,595.2,2023-08-03
30,592.6,2023-08-03
30,575.5,2023-08-03
30,560.5,2023-08-03
30,558.9,2023-08-03
30,554.8,2023-08-03
30,542.5,2023-08-03
30,542.3,2023-08-03
29,520.7,2023-08-03
30,519.7,2023-08-03
30,511.6,2023-08-03
30,487.1,2023-08-03
30,483.1,2023-08-03
30,475.7,2023-08-03
30,465.6,2023-08-03
28,442.2,2023-08-03
28,432.9,2023-08-03
30,430.3,2023-08-03
28,415.9,2023-08-03
30,411.4,2023-08-03
30,407.8,2023-08-03
30,401.7,2023-08-03
30,398.2,2023-08-03
29,365.2,2023-08-03
28,361.6,2023-08-03
30,330.5,2023-08-03
27,323.1,2023-08-03
26,303.6,2023-08-03
