level,power,date
30,803.7,2023-06-15
30,786.2,2023-06-15
30,776.6,2023-06-15
30,764.1,2023-06-15
30,734.8,2023-06-15
30,720.5,2023-06-15
30,715.5,2023-06-15
30,673.7,2023-06-15
30,667.6,2023-06-15
30,666.6,2023-06-15
30,665.7,2023-06-15
30,646.9,2023-06-15
30,645.5,2023-06-15
30,645.3,2023-06-15
30,637.6,2023-06-15
30,633.0,2023-06-15
30,615.2,2023-06-15
30,613.1,2023-06-15
30,608.2,2023-06-15
30,603.8,2023-06-15
30,601.6,2023-06-15
30,598.1,2023-06-15
30,588.0,2023-06-15
30,582.2,2023-06-15
30,580.3,2023-06-15
30,579.3,2023-06-15
30,572.3,2023-06-15
30,569.4,2023-06-15
30,565.2,2023-06-15
30,563.5,2023-06-15
30,561.8,2023-06-15
30,552.3,2023-06-15
30,543.3,2023-06-15
30,533.3,2023-06-15
30,527.0,2023-06-15
28,511.8,2023-06-15
30,510.8,2023-06-15
30,510.7,2023-06-15
30,498.6,2023-06-15
30,495.0,2023-06-15
30,492.8,2023-06-15
30,490.8,2023-06-15
30,485.9,2023-06-15
30,451.9,2023-06-15
30,451.3,2023-06-15
30,444.3,2023-06-15
29,393.8,2023-06-15
30,370.2,2023-06-15
28,366.6,2023-06-15
28,359.9,2023-06-15
27,351.5,2023-06-15
29,334.4,2023-06-15
26,232.2,2023-06-15
23,170.0,2023-06-15
23,158.9,2023-06-15
23,137.0,2023-06-15
18,53.2,2023-06-15
