level,power,date
30,842.4,2023-06-20
30,796.0,2023-06-20
30,754.9,2023-06-20
30,729.7,2023-06-20
30,715.8,2023-06-20
30,693.9,2023-06-20
30,662.1,2023-06-20
30,631.9,2023-06-20
30,613.7,2023-06-20
30,586.6,2023-06-20
30,583.2,2023-06-20
30,577.1,2023-06-20
30,575.9,2023-06-20
30,564.5,2023-06-20
30,557.3,2023-06-20
30,551.8,2023-06-20
30,541.8,2023-06-20
30,535.5,2023-06-20
30,533.3,2023-06-20
30,474.7,2023-06-20
30,474.0,2023-06-20
29,445.8,2023-06-20
30,422.3,2023-06-20
29,406.9,2023-06-20
28,338.8,2023-06-20
30,336.8,2023-06-20
28,292.7,2023-06-20
27,172.5,2023-06-20
