Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,30,715.4,2023-06-02
1,1,1,1,1,1,1,1,1,1,1,1,30,675.6,2023-06-02
2,2,2,2,2,2,2,2,2,2,2,2,30,571.8,2023-06-02
3,3,3,3,3,3,3,3,3,3,3,3,30,614.9,2023-06-02
4,4,4,4,4,4,4,4,4,4,4,4,30,709.2,2023-06-02
5,5,5,5,5,5,5,5,5,5,5,5,30,704.4,2023-06-02
6,6,6,6,6,6,6,6,6,6,6,6,30,671.9,2023-06-02
7,7,7,7,7,7,7,7,7,7,7,7,30,662.5,2023-06-02
8,8,8,8,8,8,8,8,8,8,8,8,30,649.8,2023-06-02
9,9,9,9,9,9,9,9,9,9,9,9,30,634.7,2023-06-02
10,10,10,10,10,10,10,10,10,10,10,10,30,560.3,2023-06-02
11,11,11,11,11,11,11,11,11,11,11,11,30,545.8,2023-06-02
12,12,12,12,12,12,12,12,12,12,12,12,29,422.9,2023-06-02
13,13,13,13,13,13,13,13,13,13,13,13,26,345.9,2023-06-02
14,14,14,14,14,14,14,14,14,14,14,14,30,762.1,2023-06-02
15,15,15,15,15,15,15,15,15,15,15,15,30,694.3,2023-06-02
16,16,16,16,16,16,16,16,16,16,16,16,30,611.2,2023-06-02
17,17,17,17,17,17,17,17,17,17,17,17,30,546.7,2023-06-02
18,18,18,18,18,18,18,18,18,18,18,18,30,499.3,2023-06-02
19,19,19,19,19,19,19,19,19,19,19,19,30,586.9,2023-06-02
20,20,20,20,20,20,20,20,20,20,20,20,28,382.9,2023-06-02
21,21,21,21,21,21,21,21,21,21,21,21,30,511.5,2023-06-02
22,22,22,22,22,22,22,22,22,22,22,22,30,636.1,2023-06-02
23,23,23,23,23,23,23,23,23,23,23,23,30,543.9,2023-06-02
24,24,24,24,24,24,24,24,24,24,24,24,30,683.7,2023-06-02
25,25,25,25,25,25,25,25,25,25,25,25,30,508.7,2023-06-02
26,26,26,26,26,26,26,26,26,26,26,26,29,427.7,2023-06-02
27,27,27,27,27,27,27,27,27,27,27,27,30,572.3,2023-06-02
28,28,28,28,28,28,28,28,28,28,28,28,30,759.9,2023-06-02
29,29,29,29,29,29,29,29,29,29,29,29,30,612.3,2023-06-02
30,30,30,30,30,30,30,30,30,30,30,30,30,505.5,2023-06-02
31,31,31,31,31,31,31,31,31,31,31,31,30,518.2,2023-06-02
32,32,32,32,32,32,32,32,32,32,32,32,30,479.0,2023-06-02
33,33,33,33,33,33,33,33,33,33,33,33,30,679.4,2023-06-02
34,34,34,34,34,34,34,34,34,34,34,34,30,577.6,2023-06-02
35,35,35,35,35,35,35,35,35,35,35,35,30,689.4,2023-06-02
36,36,36,36,36,36,36,36,36,36,36,36,30,597.7,2023-06-02
37,37,37,37,37,37,37,37,37,37,37,37,30,617.1,2023-06-02
38,38,38,38,38,38,38,38,38,38,38,38,30,737.9,2023-06-02
39,39,39,39,39,39,39,39,39,39,39,39,30,528.6,2023-06-02
40,40,40,40,40,40,40,40,40,40,40,40,30,701.3,2023-06-02
41,41,41,41,41,41,41,41,41,41,41,41,30,528.1,2023-06-02
42,42,42,42,42,42,42,42,42,42,42,42,29,435.1,2023-06-02
43,43,43,43,43,43,43,43,43,43,43,43,30,609.0,2023-06-02
44,44,44,44,44,44,44,44,44,44,44,44,29,409.2,2023-06-02
45,45,45,45,45,45,45,45,45,45,45,45,30,660.9,2023-06-02
46,46,46,46,46,46,46,46,46,46,46,46,30,487.5,2023-06-02
47,47,47,47,47,47,47,47,47,47,47,47,30,618.5,2023-06-02
48,48,48,48,48,48,48,48,48,48,48,48,30,789.5,2023-06-02
49,49,49,49,49,49,49,49,49,49,49,49,30,491.5,2023-06-02
50,50,50,50,50,50,50,50,50,50,50,50,30,524.6,2023-06-02
51,51,51,51,51,51,51,51,51,51,51,51,29,476.9,2023-06-02
52,52,52,52,52,52,52,52,52,52,52,52,30,608.6,2023-06-02
53,53,53,53,53,53,53,53,53,53,53,53,30,656.8,2023-06-02
54,54,54,54,54,54,54,54,54,54,54,54,30,440.6,2023-06-02
55,55,55,55,55,55,55,55,55,55,55,55,29,365.2,2023-06-02
56,56,56,56,56,56,56,56,56,56,56,56,30,457.4,2023-06-02
57,57,57,57,57,57,57,57,57,57,57,57,30,544.9,2023-06-02
58,58,58,58,58,58,58,58,58,58,58,58,30,627.8,2023-06-02
59,59,59,59,59,59,59,59,59,59,59,59,30,431.4,2023-06-02
60,60,60,60,60,60,60,60,60,60,60,60,30,594.4,2023-06-02
61,61,61,61,61,61,61,61,61,61,61,61,30,532.7,2023-06-02
62,62,62,62,62,62,62,62,62,62,62,62,28,387.7,2023-06-02
63,63,63,63,63,63,63,63,63,63,63,63,28,377.6,2023-06-02
64,64,64,64,64,64,64,64,64,64,64,64,30,625.2,2023-06-02
65,65,65,65,65,65,65,65,65,65,65,65,30,545.8,2023-06-02
66,66,66,66,66,66,66,66,66,66,66,66,30,398.3,2023-06-02
67,67,67,67,67,67,67,67,67,67,67,67,30,352.9,2023-06-02
68,68,68,68,68,68,68,68,68,68,68,68,30,537.8,2023-06-02
69,69,69,69,69,69,69,69,69,69,69,69,29,361.7,2023-06-02
