level,power,date
33,923.8,2023-10-25
32,845.2,2023-10-25
32,845.2,2023-10-25
33,843.9,2023-10-25
32,796.9,2023-10-25
33,782.3,2023-10-25
32,758.6,2023-10-25
33,749.4,2023-10-25
32,743.4,2023-10-25
31,722.9,2023-10-25
31,716.7,2023-10-25
32,710.1,2023-10-25
32,701.2,2023-10-25
33,695.5,2023-10-25
32,692.5,2023-10-25
32,663.4,2023-10-25
31,647.8,2023-10-25
30,637.7,2023-10-25
31,635.6,2023-10-25
30,629.9,2023-10-25
31,618.7,2023-10-25
31,617.5,2023-10-25
30,616.5,2023-10-25
31,606.1,2023-10-25
31,602.8,2023-10-25
31,597.3,2023-10-25
30,584.6,2023-10-25
30,583.7,2023-10-25
31,573.2,2023-10-25
30,557.3,2023-10-25
30,534.6,2023-10-25
30,530.0,2023-10-25
30,523.5,2023-10-25
30,519.7,2023-10-25
28,508.4,2023-10-25
31,505.4,2023-10-25
29,492.5,2023-10-25
29,492.4,2023-10-25
30,480.7,2023-10-25
29,480.0,2023-10-25
28,467.2,2023-10-25
30,452.2,2023-10-25
30,451.9,2023-10-25
30,451.3,2023-10-25
29,436.6,2023-10-25
30,414.1,2023-10-25
28,404.4,2023-10-25
30,371.3,2023-10-25
30,361.7,2023-10-25
30,350.5,2023-10-25
28,335.7,2023-10-25
29,331.5,2023-10-25
25,274.7,2023-10-25
24,262.0,2023-10-25
28,252.7,2023-10-25
25,252.4,2023-10-25
27,239.4,2023-10-25
25,203.2,2023-10-25
24,175.0,2023-10-25
27,148.0,2023-10-25
25,124.5,2023-10-25
