level,power,date
31,873.6,2023-09-11
31,743.2,2023-09-11
30,547.4,2023-09-11
30,542.2,2023-09-11
30,540.9,2023-09-11
29,535.1,2023-09-11
30,526.8,2023-09-11
29,505.1,2023-09-11
30,501.9,2023-09-11
30,498.6,2023-09-11
30,494.3,2023-09-11
30,491.4,2023-09-11
30,487.5,2023-09-11
30,483.5,2023-09-11
30,476.1,2023-09-11
28,432.9,2023-09-11
27,419.8,2023-09-11
29,409.4,2023-09-11
26,399.5,2023-09-11
29,397.5,2023-09-11
30,397.1,2023-09-11
29,393.1,2023-09-11
29,385.4,2023-09-11
29,382.7,2023-09-11
27,379.0,2023-09-11
29,378.5,2023-09-11
26,370.6,2023-09-11
26,365.9,2023-09-11
27,355.4,2023-09-11
26,351.8,2023-09-11
25,350.1,2023-09-11
29,342.2,2023-09-11
25,321.3,2023-09-11
25,320.8,2023-09-11
26,309.8,2023-09-11
28,305.0,2023-09-11
26,272.5,2023-09-11
28,258.4,2023-09-11
25,247.2,2023-09-11
24,244.2,2023-09-11
25,236.4,2023-09-11
26,233.2,2023-09-11
24,232.6,2023-09-11
25,232.6,2023-09-11
22,220.9,2023-09-11
26,205.8,2023-09-11
23,201.1,2023-09-11
25,198.2,2023-09-11
24,172.0,2023-09-11
22,152.9,2023-09-11
23,139.5,2023-09-11
22,106.7,2023-09-11
21,93.7,2023-09-11
18,53.6,2023-09-11
12,32.5,2023-09-11
11,20.6,2023-09-11
6,8.2,2023-09-11
