level,power,date
30,499.1,2023-09-11
29,404.1,2023-09-11
30,357.5,2023-09-11
26,346.5,2023-09-11
28,339.2,2023-09-11
28,332.6,2023-09-11
26,332.3,2023-09-11
26,325.8,2023-09-11
25,322.2,2023-09-11
28,310.7,2023-09-11
27,306.9,2023-09-11
28,289.9,2023-09-11
26,283.8,2023-09-11
29,278.9,2023-09-11
28,269.7,2023-09-11
26,254.6,2023-09-11
28,243.8,2023-09-11
24,239.7,2023-09-11
27,236.3,2023-09-11
27,229.1,2023-09-11
26,227.5,2023-09-11
24,221.3,2023-09-11
26,215.1,2023-09-11
26,212.1,2023-09-11
26,211.2,2023-09-11
27,210.7,2023-09-11
22,202.5,2023-09-11
27,202.0,2023-09-11
24,194.0,2023-09-11
24,190.0,2023-09-11
24,188.1,2023-09-11
24,175.0,2023-09-11
22,163.1,2023-09-11
24,157.0,2023-09-11
23,131.2,2023-09-11
20,128.9,2023-09-11
23,123.8,2023-09-11
24,115.5,2023-09-11
21,112.9,2023-09-11
22,100.5,2023-09-11
19,91.4,2023-09-11
17,50.4,2023-09-11
13,29.2,2023-09-11
6,5.5,2023-09-11
