level,power,date
30,619.8,2023-06-23
30,614.0,2023-06-23
30,530.0,2023-06-23
30,499.8,2023-06-23
28,493.8,2023-06-23
30,440.8,2023-06-23
29,440.1,2023-06-23
27,435.2,2023-06-23
29,428.5,2023-06-23
30,424.4,2023-06-23
29,414.6,2023-06-23
27,413.2,2023-06-23
29,397.9,2023-06-23
26,395.0,2023-06-23
26,363.4,2023-06-23
28,363.1,2023-06-23
26,355.3,2023-06-23
27,355.0,2023-06-23
27,337.9,2023-06-23
27,315.1,2023-06-23
28,313.1,2023-06-23
27,302.7,2023-06-23
27,299.4,2023-06-23
25,292.4,2023-06-23
25,288.8,2023-06-23
25,287.7,2023-06-23
24,280.9,2023-06-23
24,269.4,2023-06-23
24,264.7,2023-06-23
24,251.3,2023-06-23
25,242.4,2023-06-23
26,238.3,2023-06-23
26,233.1,2023-06-23
26,228.2,2023-06-23
24,220.2,2023-06-23
24,203.3,2023-06-23
24,193.9,2023-06-23
25,192.3,2023-06-23
23,190.8,2023-06-23
23,181.6,2023-06-23
23,180.5,2023-06-23
25,173.8,2023-06-23
24,170.7,2023-06-23
22,170.2,2023-06-23
23,168.9,2023-06-23
22,161.6,2023-06-23
24,159.4,2023-06-23
23,155.2,2023-06-23
23,152.0,2023-06-23
23,149.1,2023-06-23
21,113.5,2023-06-23
21,113.0,2023-06-23
20,108.7,2023-06-23
21,106.9,2023-06-23
20,82.0,2023-06-23
21,75.7,2023-06-23
21,72.6,2023-06-23
21,71.7,2023-06-23
19,71.5,2023-06-23
20,64.0,2023-06-23
19,63.5,2023-06-23
11,28.6,2023-06-23
