level,power,date
30,744.6,2023-06-23
30,721.9,2023-06-23
30,716.5,2023-06-23
30,710.3,2023-06-23
30,654.9,2023-06-23
30,648.7,2023-06-23
30,647.4,2023-06-23
30,645.1,2023-06-23
30,641.9,2023-06-23
30,641.8,2023-06-23
30,631.0,2023-06-23
30,622.3,2023-06-23
30,618.1,2023-06-23
30,614.9,2023-06-23
30,613.7,2023-06-23
30,595.4,2023-06-23
30,594.9,2023-06-23
30,588.9,2023-06-23
30,576.9,2023-06-23
30,560.2,2023-06-23
30,557.3,2023-06-23
30,556.9,2023-06-23
30,554.6,2023-06-23
30,545.8,2023-06-23
30,527.7,2023-06-23
30,524.1,2023-06-23
30,509.2,2023-06-23
30,505.2,2023-06-23
27,492.5,2023-06-23
30,477.6,2023-06-23
29,452.0,2023-06-23
30,448.9,2023-06-23
30,443.2,2023-06-23
30,443.1,2023-06-23
30,437.1,2023-06-23
30,418.4,2023-06-23
29,417.5,2023-06-23
29,414.7,2023-06-23
30,411.2,2023-06-23
29,410.1,2023-06-23
30,405.9,2023-06-23
29,400.3,2023-06-23
29,397.7,2023-06-23
27,392.8,2023-06-23
28,383.1,2023-06-23
27,380.8,2023-06-23
30,368.0,2023-06-23
28,366.5,2023-06-23
30,361.1,2023-06-23
28,360.4,2023-06-23
29,359.1,2023-06-23
26,352.2,2023-06-23
29,346.4,2023-06-23
27,332.1,2023-06-23
28,321.2,2023-06-23
27,315.9,2023-06-23
25,307.3,2023-06-23
28,303.1,2023-06-23
28,288.3,2023-06-23
28,269.5,2023-06-23
27,255.4,2023-06-23
28,243.8,2023-06-23
25,174.9,2023-06-23
22,124.5,2023-06-23
20,104.7,2023-06-23
