,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,530.9,2023-06-02
1,1,1,1,1,1,30,610.0,2023-06-02
2,2,2,2,2,2,30,545.7,2023-06-02
3,3,3,3,3,3,27,361.0,2023-06-02
4,4,4,4,4,4,30,606.2,2023-06-02
5,5,5,5,5,5,30,491.5,2023-06-02
6,6,6,6,6,6,30,491.0,2023-06-02
7,7,7,7,7,7,29,440.0,2023-06-02
8,8,8,8,8,8,28,371.7,2023-06-02
9,9,9,9,9,9,27,384.0,2023-06-02
10,10,10,10,10,10,27,377.0,2023-06-02
11,11,11,11,11,11,29,485.0,2023-06-02
12,12,12,12,12,12,28,356.0,2023-06-02
13,13,13,13,13,13,27,384.3,2023-06-02
14,14,14,14,14,14,30,438.9,2023-06-02
15,15,15,15,15,15,26,330.8,2023-06-02
16,16,16,16,16,16,30,636.3,2023-06-02
17,17,17,17,17,17,30,522.7,2023-06-02
18,18,18,18,18,18,30,569.4,2023-06-02
19,19,19,19,19,19,26,284.0,2023-06-02
20,20,20,20,20,20,28,418.6,2023-06-02
21,21,21,21,21,21,26,294.4,2023-06-02
22,22,22,22,22,22,30,594.5,2023-06-02
23,23,23,23,23,23,28,395.8,2023-06-02
24,24,24,24,24,24,30,457.4,2023-06-02
25,25,25,25,25,25,27,282.8,2023-06-02
26,26,26,26,26,26,24,206.7,2023-06-02
27,27,27,27,27,27,20,90.7,2023-06-02
28,28,28,28,28,28,30,619.1,2023-06-02
29,29,29,29,29,29,24,250.4,2023-06-02
30,30,30,30,30,30,29,450.3,2023-06-02
31,31,31,31,31,31,27,323.7,2023-06-02
32,32,32,32,32,32,27,278.6,2023-06-02
33,33,33,33,33,33,27,297.9,2023-06-02
34,34,34,34,34,34,20,62.9,2023-06-02
35,35,35,35,35,35,30,383.4,2023-06-02
36,36,36,36,36,36,27,405.1,2023-06-02
37,37,37,37,37,37,27,316.3,2023-06-02
38,38,38,38,38,38,26,241.8,2023-06-02
39,39,39,39,39,39,21,169.8,2023-06-02
40,40,40,40,40,40,30,379.8,2023-06-02
41,41,41,41,41,41,26,185.5,2023-06-02
42,42,42,42,42,42,23,203.8,2023-06-02
43,43,43,43,43,43,27,260.2,2023-06-02
44,44,44,44,44,44,26,340.1,2023-06-02
45,45,45,45,45,45,25,232.3,2023-06-02
46,46,46,46,46,46,27,190.2,2023-06-02
47,47,47,47,47,47,22,202.5,2023-06-02
48,48,48,48,48,48,26,256.0,2023-06-02
49,49,49,49,49,49,27,241.8,2023-06-02
50,50,50,50,50,50,22,173.0,2023-06-02
51,51,51,51,51,51,27,228.8,2023-06-02
52,52,52,52,52,52,30,425.9,2023-06-02
