level,power,date
30,844.4,2023-07-03
30,763.8,2023-07-03
30,747.1,2023-07-03
30,729.7,2023-07-03
30,723.0,2023-07-03
30,695.5,2023-07-03
30,687.0,2023-07-03
30,669.1,2023-07-03
30,668.6,2023-07-03
30,667.8,2023-07-03
30,663.6,2023-07-03
30,656.6,2023-07-03
30,656.4,2023-07-03
30,648.3,2023-07-03
30,633.3,2023-07-03
30,624.7,2023-07-03
30,608.2,2023-07-03
30,591.5,2023-07-03
30,575.7,2023-07-03
30,575.5,2023-07-03
30,573.2,2023-07-03
30,562.6,2023-07-03
30,562.6,2023-07-03
30,552.5,2023-07-03
30,551.5,2023-07-03
30,548.5,2023-07-03
30,547.2,2023-07-03
29,542.5,2023-07-03
30,541.7,2023-07-03
30,537.3,2023-07-03
30,527.4,2023-07-03
30,524.8,2023-07-03
30,507.2,2023-07-03
30,494.6,2023-07-03
30,489.0,2023-07-03
30,488.4,2023-07-03
30,488.2,2023-07-03
29,488.1,2023-07-03
30,487.0,2023-07-03
30,484.3,2023-07-03
30,480.9,2023-07-03
30,476.5,2023-07-03
30,471.9,2023-07-03
30,471.6,2023-07-03
29,471.0,2023-07-03
30,468.5,2023-07-03
29,466.7,2023-07-03
29,466.4,2023-07-03
30,452.9,2023-07-03
29,448.4,2023-07-03
29,444.5,2023-07-03
30,435.9,2023-07-03
30,431.5,2023-07-03
28,429.3,2023-07-03
30,425.8,2023-07-03
30,424.0,2023-07-03
30,422.2,2023-07-03
29,407.1,2023-07-03
30,401.9,2023-07-03
28,384.5,2023-07-03
28,367.8,2023-07-03
30,365.7,2023-07-03
25,327.1,2023-07-03
29,285.9,2023-07-03
