level,power,date
30,669.7,2023-06-15
30,660.1,2023-06-15
30,586.4,2023-06-15
30,573.9,2023-06-15
30,542.5,2023-06-15
30,530.6,2023-06-15
30,523.1,2023-06-15
29,512.4,2023-06-15
30,506.0,2023-06-15
30,496.2,2023-06-15
30,489.1,2023-06-15
30,479.3,2023-06-15
30,473.1,2023-06-15
29,470.3,2023-06-15
27,466.8,2023-06-15
30,464.9,2023-06-15
30,451.4,2023-06-15
27,448.3,2023-06-15
30,442.6,2023-06-15
30,441.0,2023-06-15
30,435.9,2023-06-15
30,434.9,2023-06-15
27,433.2,2023-06-15
29,426.5,2023-06-15
29,421.7,2023-06-15
30,410.7,2023-06-15
28,397.4,2023-06-15
25,395.6,2023-06-15
28,390.3,2023-06-15
29,386.7,2023-06-15
30,385.2,2023-06-15
28,367.3,2023-06-15
28,365.5,2023-06-15
29,363.9,2023-06-15
30,363.8,2023-06-15
28,348.4,2023-06-15
27,344.8,2023-06-15
26,332.9,2023-06-15
29,330.3,2023-06-15
28,325.8,2023-06-15
27,274.1,2023-06-15
27,236.0,2023-06-15
29,235.1,2023-06-15
27,220.8,2023-06-15
23,136.2,2023-06-15
