level,power,date
30,549.0,2023-06-23
30,536.8,2023-06-23
30,515.3,2023-06-23
30,513.4,2023-06-23
29,497.2,2023-06-23
30,494.5,2023-06-23
30,486.3,2023-06-23
28,485.7,2023-06-23
28,439.2,2023-06-23
29,430.6,2023-06-23
27,422.8,2023-06-23
27,408.8,2023-06-23
30,390.0,2023-06-23
28,384.9,2023-06-23
29,382.4,2023-06-23
26,380.8,2023-06-23
27,380.5,2023-06-23
29,379.3,2023-06-23
27,375.9,2023-06-23
28,370.1,2023-06-23
29,364.2,2023-06-23
28,361.0,2023-06-23
26,352.5,2023-06-23
27,350.3,2023-06-23
27,345.7,2023-06-23
25,344.6,2023-06-23
25,315.6,2023-06-23
24,315.4,2023-06-23
26,308.7,2023-06-23
28,292.4,2023-06-23
25,284.1,2023-06-23
24,266.9,2023-06-23
26,261.3,2023-06-23
25,259.1,2023-06-23
24,201.9,2023-06-23
24,174.1,2023-06-23
24,169.2,2023-06-23
24,158.4,2023-06-23
23,124.5,2023-06-23
