level,power,date
30,620.8,2023-06-09
30,620.7,2023-06-09
30,592.3,2023-06-09
30,569.3,2023-06-09
30,523.8,2023-06-09
30,520.5,2023-06-09
30,518.8,2023-06-09
30,492.1,2023-06-09
30,485.9,2023-06-09
28,462.0,2023-06-09
28,453.6,2023-06-09
27,453.1,2023-06-09
29,453.0,2023-06-09
30,450.7,2023-06-09
26,444.3,2023-06-09
30,437.9,2023-06-09
30,430.6,2023-06-09
27,425.2,2023-06-09
29,420.9,2023-06-09
28,415.1,2023-06-09
27,405.6,2023-06-09
27,392.4,2023-06-09
29,391.1,2023-06-09
28,389.7,2023-06-09
26,386.4,2023-06-09
29,366.6,2023-06-09
27,361.8,2023-06-09
26,357.9,2023-06-09
26,357.7,2023-06-09
26,344.6,2023-06-09
29,337.9,2023-06-09
27,334.6,2023-06-09
28,331.4,2023-06-09
27,326.6,2023-06-09
25,325.3,2023-06-09
26,315.9,2023-06-09
26,315.9,2023-06-09
28,312.6,2023-06-09
26,312.5,2023-06-09
25,310.4,2023-06-09
28,308.1,2023-06-09
26,307.2,2023-06-09
29,297.6,2023-06-09
27,289.4,2023-06-09
28,282.7,2023-06-09
26,272.5,2023-06-09
25,270.3,2023-06-09
25,269.8,2023-06-09
22,267.4,2023-06-09
27,249.3,2023-06-09
26,249.0,2023-06-09
25,240.7,2023-06-09
24,237.2,2023-06-09
26,236.7,2023-06-09
24,227.3,2023-06-09
24,225.3,2023-06-09
22,224.6,2023-06-09
25,222.3,2023-06-09
25,194.9,2023-06-09
24,191.6,2023-06-09
25,167.0,2023-06-09
21,167.0,2023-06-09
22,126.4,2023-06-09
19,104.9,2023-06-09
18,53.5,2023-06-09
