,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,30,483.3,2023-05-21
1,1,1,1,1,1,1,1,1,1,1,30,677.8,2023-05-21
2,2,2,2,2,2,2,2,2,2,2,29,420.3,2023-05-21
3,3,3,3,3,3,3,3,3,3,3,29,408.6,2023-05-21
4,4,4,4,4,4,4,4,4,4,4,30,584.6,2023-05-21
5,5,5,5,5,5,5,5,5,5,5,27,391.0,2023-05-21
6,6,6,6,6,6,6,6,6,6,6,26,397.8,2023-05-21
7,7,7,7,7,7,7,7,7,7,7,26,230.7,2023-05-21
8,8,8,8,8,8,8,8,8,8,8,22,195.2,2023-05-21
9,9,9,9,9,9,9,9,9,9,9,28,333.4,2023-05-21
10,10,10,10,10,10,10,10,10,10,10,28,369.9,2023-05-21
11,11,11,11,11,11,11,11,11,11,11,29,449.6,2023-05-21
12,12,12,12,12,12,12,12,12,12,12,27,389.2,2023-05-21
13,13,13,13,13,13,13,13,13,13,13,26,244.8,2023-05-21
14,14,14,14,14,14,14,14,14,14,14,25,175.5,2023-05-21
15,15,15,15,15,15,15,15,15,15,15,30,640.8,2023-05-21
16,16,16,16,16,16,16,16,16,16,16,26,257.3,2023-05-21
17,17,17,17,17,17,17,17,17,17,17,29,397.0,2023-05-21
18,18,18,18,18,18,18,18,18,18,18,27,331.0,2023-05-21
19,19,19,19,19,19,19,19,19,19,19,27,283.1,2023-05-21
20,20,20,20,20,20,20,20,20,20,20,27,284.8,2023-05-21
21,21,21,21,21,21,21,21,21,21,21,25,269.8,2023-05-21
22,22,22,22,22,22,22,22,22,22,22,29,380.3,2023-05-21
23,23,23,23,23,23,23,23,23,23,23,26,324.5,2023-05-21
24,24,24,24,24,24,24,24,24,24,24,23,143.5,2023-05-21
25,25,25,25,25,25,25,25,25,25,25,30,528.0,2023-05-21
26,26,26,26,26,26,26,26,26,26,26,26,259.2,2023-05-21
27,27,27,27,27,27,27,27,27,27,27,29,314.2,2023-05-21
28,28,28,28,28,28,28,28,28,28,28,25,261.8,2023-05-21
29,29,29,29,29,29,29,29,29,29,29,27,346.2,2023-05-21
30,30,30,30,30,30,30,30,30,30,30,27,265.9,2023-05-21
31,31,31,31,31,31,31,31,31,31,31,25,285.3,2023-05-21
32,32,32,32,32,32,32,32,32,32,32,25,311.1,2023-05-21
33,33,33,33,33,33,33,33,33,33,33,30,407.8,2023-05-21
34,34,34,34,34,34,34,34,34,34,34,25,220.0,2023-05-21
35,35,35,35,35,35,35,35,35,35,35,28,268.6,2023-05-21
36,36,36,36,36,36,36,36,36,36,36,26,259.7,2023-05-21
37,37,37,37,37,37,37,37,37,37,37,27,335.3,2023-05-21
38,38,38,38,38,38,38,38,38,38,38,24,208.1,2023-05-21
39,39,39,39,39,39,39,39,39,39,39,30,347.4,2023-05-21
40,40,40,40,40,40,40,40,40,40,40,26,285.6,2023-05-21
41,41,41,41,41,41,41,41,41,41,41,26,330.5,2023-05-21
42,42,42,42,42,42,42,42,42,42,42,26,252.3,2023-05-21
43,43,43,43,43,43,43,43,43,43,43,30,502.1,2023-05-21
44,44,44,44,44,44,44,44,44,44,44,25,227.8,2023-05-21
45,45,45,45,45,45,45,45,45,45,45,29,313.7,2023-05-21
46,46,46,46,46,46,46,46,46,46,46,19,74.4,2023-05-21
