,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,409.5,2023-06-02
1,1,1,1,1,1,30,693.6,2023-06-02
2,2,2,2,2,2,30,444.3,2023-06-02
3,3,3,3,3,3,30,497.8,2023-06-02
4,4,4,4,4,4,30,509.3,2023-06-02
5,5,5,5,5,5,30,461.5,2023-06-02
6,6,6,6,6,6,30,453.7,2023-06-02
7,7,7,7,7,7,30,431.3,2023-06-02
8,8,8,8,8,8,28,435.3,2023-06-02
9,9,9,9,9,9,28,403.4,2023-06-02
10,10,10,10,10,10,19,115.2,2023-06-02
11,11,11,11,11,11,30,479.8,2023-06-02
12,12,12,12,12,12,30,507.3,2023-06-02
13,13,13,13,13,13,29,427.8,2023-06-02
14,14,14,14,14,14,30,495.7,2023-06-02
15,15,15,15,15,15,29,421.9,2023-06-02
16,16,16,16,16,16,26,387.7,2023-06-02
17,17,17,17,17,17,29,406.2,2023-06-02
18,18,18,18,18,18,30,449.9,2023-06-02
19,19,19,19,19,19,30,493.9,2023-06-02
20,20,20,20,20,20,29,529.2,2023-06-02
21,21,21,21,21,21,29,333.2,2023-06-02
22,22,22,22,22,22,30,506.6,2023-06-02
23,23,23,23,23,23,28,419.6,2023-06-02
24,24,24,24,24,24,25,230.4,2023-06-02
25,25,25,25,25,25,29,358.1,2023-06-02
26,26,26,26,26,26,27,343.5,2023-06-02
27,27,27,27,27,27,30,472.4,2023-06-02
28,28,28,28,28,28,29,360.2,2023-06-02
29,29,29,29,29,29,28,267.1,2023-06-02
30,30,30,30,30,30,29,301.4,2023-06-02
31,31,31,31,31,31,29,380.2,2023-06-02
32,32,32,32,32,32,29,436.9,2023-06-02
33,33,33,33,33,33,29,393.2,2023-06-02
34,34,34,34,34,34,25,301.4,2023-06-02
35,35,35,35,35,35,28,298.9,2023-06-02
36,36,36,36,36,36,29,362.3,2023-06-02
37,37,37,37,37,37,27,387.3,2023-06-02
38,38,38,38,38,38,29,372.3,2023-06-02
39,39,39,39,39,39,28,290.7,2023-06-02
40,40,40,40,40,40,25,145.8,2023-06-02
41,41,41,41,41,41,28,334.0,2023-06-02
42,42,42,42,42,42,27,237.7,2023-06-02
43,43,43,43,43,43,29,333.1,2023-06-02
44,44,44,44,44,44,30,378.7,2023-06-02
45,45,45,45,45,45,25,245.7,2023-06-02
46,46,46,46,46,46,30,580.5,2023-06-02
47,47,47,47,47,47,29,331.8,2023-06-02
48,48,48,48,48,48,30,384.3,2023-06-02
49,49,49,49,49,49,29,378.2,2023-06-02
