level,power,date
30,796.0,2023-06-23
30,766.4,2023-06-23
30,749.1,2023-06-23
30,744.4,2023-06-23
30,690.3,2023-06-23
30,687.1,2023-06-23
30,681.5,2023-06-23
30,644.5,2023-06-23
30,639.1,2023-06-23
30,632.9,2023-06-23
30,589.6,2023-06-23
30,564.7,2023-06-23
30,551.7,2023-06-23
30,548.9,2023-06-23
30,530.5,2023-06-23
30,526.8,2023-06-23
30,504.0,2023-06-23
30,498.9,2023-06-23
30,447.8,2023-06-23
27,402.7,2023-06-23
28,401.8,2023-06-23
29,396.4,2023-06-23
29,387.5,2023-06-23
29,381.9,2023-06-23
29,358.7,2023-06-23
28,346.5,2023-06-23
27,339.0,2023-06-23
26,323.3,2023-06-23
29,322.4,2023-06-23
28,287.4,2023-06-23
26,273.6,2023-06-23
26,255.7,2023-06-23
26,252.7,2023-06-23
28,246.1,2023-06-23
25,210.7,2023-06-23
24,175.9,2023-06-23
24,157.6,2023-06-23
23,153.8,2023-06-23
23,130.7,2023-06-23
23,127.8,2023-06-23
