level,power,date
32,886.1,2023-10-08
32,879.9,2023-10-08
32,867.7,2023-10-08
32,775.1,2023-10-08
32,773.1,2023-10-08
32,772.4,2023-10-08
32,752.5,2023-10-08
31,738.8,2023-10-08
32,707.3,2023-10-08
31,676.2,2023-10-08
31,670.4,2023-10-08
31,647.0,2023-10-08
31,635.9,2023-10-08
30,621.8,2023-10-08
28,589.0,2023-10-08
30,588.4,2023-10-08
30,570.3,2023-10-08
31,569.4,2023-10-08
30,569.2,2023-10-08
29,568.3,2023-10-08
30,567.7,2023-10-08
30,557.5,2023-10-08
30,544.4,2023-10-08
29,540.3,2023-10-08
29,540.0,2023-10-08
30,533.6,2023-10-08
30,526.8,2023-10-08
30,503.1,2023-10-08
28,476.1,2023-10-08
30,461.6,2023-10-08
29,460.6,2023-10-08
29,450.3,2023-10-08
30,448.2,2023-10-08
28,439.9,2023-10-08
29,435.7,2023-10-08
30,425.7,2023-10-08
30,412.5,2023-10-08
27,401.9,2023-10-08
27,399.9,2023-10-08
30,385.2,2023-10-08
29,382.8,2023-10-08
28,379.7,2023-10-08
26,379.1,2023-10-08
26,369.5,2023-10-08
29,347.2,2023-10-08
28,336.7,2023-10-08
28,333.6,2023-10-08
27,331.9,2023-10-08
28,326.9,2023-10-08
26,323.0,2023-10-08
26,321.0,2023-10-08
29,320.9,2023-10-08
28,316.4,2023-10-08
30,311.5,2023-10-08
27,309.9,2023-10-08
25,306.1,2023-10-08
25,297.0,2023-10-08
25,282.3,2023-10-08
25,277.2,2023-10-08
25,272.6,2023-10-08
25,263.4,2023-10-08
27,213.0,2023-10-08
25,165.7,2023-10-08
24,147.3,2023-10-08
22,136.1,2023-10-08
22,121.6,2023-10-08
18,111.5,2023-10-08
22,107.4,2023-10-08
19,77.7,2023-10-08
18,56.4,2023-10-08
