level,power,date
30,759.6,2023-07-03
30,743.2,2023-07-03
30,727.7,2023-07-03
30,702.0,2023-07-03
30,688.1,2023-07-03
30,681.9,2023-07-03
30,669.7,2023-07-03
30,661.4,2023-07-03
30,651.6,2023-07-03
30,648.1,2023-07-03
30,638.5,2023-07-03
30,637.7,2023-07-03
30,635.3,2023-07-03
30,614.6,2023-07-03
30,612.3,2023-07-03
30,609.5,2023-07-03
30,608.8,2023-07-03
30,557.9,2023-07-03
30,556.3,2023-07-03
30,554.1,2023-07-03
30,553.3,2023-07-03
30,551.4,2023-07-03
30,545.2,2023-07-03
30,540.9,2023-07-03
30,535.6,2023-07-03
30,531.0,2023-07-03
29,526.3,2023-07-03
30,505.4,2023-07-03
30,490.5,2023-07-03
30,490.2,2023-07-03
30,488.4,2023-07-03
27,472.6,2023-07-03
30,472.0,2023-07-03
30,412.5,2023-07-03
30,408.1,2023-07-03
30,405.6,2023-07-03
29,399.0,2023-07-03
29,391.6,2023-07-03
30,389.2,2023-07-03
28,379.5,2023-07-03
28,340.7,2023-07-03
30,337.7,2023-07-03
27,334.5,2023-07-03
26,331.2,2023-07-03
27,328.7,2023-07-03
28,327.4,2023-07-03
27,327.1,2023-07-03
28,324.4,2023-07-03
29,321.2,2023-07-03
28,317.6,2023-07-03
30,303.9,2023-07-03
28,300.9,2023-07-03
26,293.2,2023-07-03
28,268.6,2023-07-03
27,236.2,2023-07-03
25,220.2,2023-07-03
25,184.3,2023-07-03
25,180.8,2023-07-03
26,180.1,2023-07-03
24,177.3,2023-07-03
24,155.6,2023-07-03
24,153.9,2023-07-03
22,130.3,2023-07-03
19,62.5,2023-07-03
20,59.8,2023-07-03
