level,power,date
30,596.2,2023-06-09
30,548.4,2023-06-09
30,540.0,2023-06-09
30,516.8,2023-06-09
29,482.2,2023-06-09
28,468.1,2023-06-09
30,462.6,2023-06-09
30,443.5,2023-06-09
30,439.0,2023-06-09
29,431.0,2023-06-09
26,422.9,2023-06-09
26,412.8,2023-06-09
30,410.0,2023-06-09
29,402.9,2023-06-09
29,397.4,2023-06-09
30,384.6,2023-06-09
29,369.4,2023-06-09
28,360.6,2023-06-09
27,350.3,2023-06-09
25,341.1,2023-06-09
25,331.3,2023-06-09
30,323.2,2023-06-09
27,318.0,2023-06-09
28,307.4,2023-06-09
25,303.5,2023-06-09
24,271.9,2023-06-09
23,230.1,2023-06-09
25,222.0,2023-06-09
24,211.8,2023-06-09
24,205.8,2023-06-09
27,205.1,2023-06-09
26,189.9,2023-06-09
28,187.5,2023-06-09
22,186.2,2023-06-09
23,174.0,2023-06-09
23,167.7,2023-06-09
22,165.6,2023-06-09
23,161.7,2023-06-09
22,142.6,2023-06-09
22,140.6,2023-06-09
23,132.4,2023-06-09
20,125.1,2023-06-09
21,122.2,2023-06-09
21,93.8,2023-06-09
20,55.0,2023-06-09
17,43.8,2023-06-09
12,26.5,2023-06-09
