level,power,date
30,771.4,2023-06-16
30,711.2,2023-06-16
30,692.8,2023-06-16
30,691.7,2023-06-16
30,684.7,2023-06-16
30,678.2,2023-06-16
30,673.0,2023-06-16
30,653.2,2023-06-16
30,634.1,2023-06-16
30,626.7,2023-06-16
30,600.2,2023-06-16
30,593.5,2023-06-16
28,549.3,2023-06-16
30,532.3,2023-06-16
30,527.1,2023-06-16
30,524.9,2023-06-16
30,523.7,2023-06-16
30,520.6,2023-06-16
30,516.7,2023-06-16
30,511.3,2023-06-16
30,499.0,2023-06-16
30,495.2,2023-06-16
30,493.7,2023-06-16
30,486.8,2023-06-16
28,464.9,2023-06-16
28,447.5,2023-06-16
29,438.2,2023-06-16
27,434.2,2023-06-16
29,407.8,2023-06-16
27,383.5,2023-06-16
25,366.5,2023-06-16
28,362.7,2023-06-16
29,361.1,2023-06-16
27,348.6,2023-06-16
29,345.0,2023-06-16
27,344.7,2023-06-16
27,326.8,2023-06-16
24,326.7,2023-06-16
27,316.4,2023-06-16
26,307.8,2023-06-16
26,306.5,2023-06-16
28,302.2,2023-06-16
28,295.5,2023-06-16
26,293.6,2023-06-16
27,279.5,2023-06-16
26,271.8,2023-06-16
25,267.4,2023-06-16
25,258.7,2023-06-16
26,256.6,2023-06-16
23,246.2,2023-06-16
25,239.6,2023-06-16
24,227.7,2023-06-16
26,224.2,2023-06-16
23,218.4,2023-06-16
23,206.6,2023-06-16
24,196.3,2023-06-16
24,194.1,2023-06-16
24,168.7,2023-06-16
22,150.2,2023-06-16
23,139.7,2023-06-16
22,117.9,2023-06-16
22,104.5,2023-06-16
21,99.1,2023-06-16
20,79.7,2023-06-16
20,75.8,2023-06-16
21,71.1,2023-06-16
18,42.5,2023-06-16
13,22.4,2023-06-16
