level,power,date
30,807.2,2023-07-03
30,773.4,2023-07-03
30,729.5,2023-07-03
30,690.5,2023-07-03
30,686.0,2023-07-03
30,680.2,2023-07-03
30,659.2,2023-07-03
30,658.7,2023-07-03
30,654.9,2023-07-03
30,623.3,2023-07-03
30,617.5,2023-07-03
30,611.9,2023-07-03
30,605.5,2023-07-03
30,597.9,2023-07-03
30,584.9,2023-07-03
30,574.7,2023-07-03
30,574.5,2023-07-03
30,561.5,2023-07-03
30,551.6,2023-07-03
30,543.8,2023-07-03
30,534.4,2023-07-03
30,517.3,2023-07-03
30,511.9,2023-07-03
30,495.8,2023-07-03
30,481.9,2023-07-03
29,480.5,2023-07-03
29,478.2,2023-07-03
29,476.5,2023-07-03
30,466.0,2023-07-03
30,462.7,2023-07-03
29,450.3,2023-07-03
29,449.3,2023-07-03
30,446.5,2023-07-03
30,438.3,2023-07-03
29,437.5,2023-07-03
28,435.9,2023-07-03
30,433.7,2023-07-03
29,432.8,2023-07-03
28,420.0,2023-07-03
29,411.1,2023-07-03
29,409.9,2023-07-03
27,385.5,2023-07-03
27,384.8,2023-07-03
30,382.8,2023-07-03
29,379.1,2023-07-03
29,378.9,2023-07-03
27,378.3,2023-07-03
29,373.6,2023-07-03
28,370.2,2023-07-03
25,360.5,2023-07-03
29,333.8,2023-07-03
29,333.7,2023-07-03
25,326.0,2023-07-03
28,315.4,2023-07-03
26,291.6,2023-07-03
26,244.8,2023-07-03
