level,power,date
30,645.8,2023-06-16
30,612.8,2023-06-16
30,586.7,2023-06-16
30,582.7,2023-06-16
30,562.0,2023-06-16
30,543.1,2023-06-16
30,506.7,2023-06-16
30,487.7,2023-06-16
30,470.8,2023-06-16
30,467.9,2023-06-16
30,463.8,2023-06-16
30,459.8,2023-06-16
29,456.2,2023-06-16
30,437.5,2023-06-16
29,409.6,2023-06-16
28,405.1,2023-06-16
27,402.0,2023-06-16
28,397.4,2023-06-16
30,395.5,2023-06-16
28,391.7,2023-06-16
28,390.4,2023-06-16
28,380.2,2023-06-16
28,374.6,2023-06-16
30,366.1,2023-06-16
26,365.9,2023-06-16
29,360.2,2023-06-16
30,357.5,2023-06-16
29,353.9,2023-06-16
29,346.4,2023-06-16
29,343.3,2023-06-16
25,335.2,2023-06-16
26,325.4,2023-06-16
27,321.3,2023-06-16
29,297.5,2023-06-16
27,292.7,2023-06-16
25,285.1,2023-06-16
24,284.2,2023-06-16
28,278.7,2023-06-16
29,274.0,2023-06-16
29,240.3,2023-06-16
15,27.6,2023-06-16
