level,power,date
32,836.3,2023-10-08
32,774.0,2023-10-08
32,761.2,2023-10-08
32,738.6,2023-10-08
31,727.2,2023-10-08
32,727.1,2023-10-08
32,724.7,2023-10-08
32,703.7,2023-10-08
32,678.3,2023-10-08
30,671.9,2023-10-08
32,666.6,2023-10-08
30,663.1,2023-10-08
32,658.2,2023-10-08
30,657.1,2023-10-08
31,656.5,2023-10-08
31,642.6,2023-10-08
31,638.1,2023-10-08
30,626.2,2023-10-08
30,617.6,2023-10-08
31,600.5,2023-10-08
30,571.6,2023-10-08
30,568.4,2023-10-08
28,551.8,2023-10-08
30,550.3,2023-10-08
30,548.1,2023-10-08
30,547.6,2023-10-08
30,542.5,2023-10-08
30,541.0,2023-10-08
31,540.6,2023-10-08
30,539.9,2023-10-08
29,537.1,2023-10-08
28,525.4,2023-10-08
30,524.3,2023-10-08
30,520.6,2023-10-08
30,519.7,2023-10-08
30,512.7,2023-10-08
31,503.7,2023-10-08
28,493.4,2023-10-08
29,491.8,2023-10-08
30,483.2,2023-10-08
29,478.1,2023-10-08
29,472.6,2023-10-08
30,471.5,2023-10-08
30,469.6,2023-10-08
30,469.0,2023-10-08
29,465.8,2023-10-08
28,460.1,2023-10-08
27,450.4,2023-10-08
30,441.8,2023-10-08
29,438.3,2023-10-08
30,438.1,2023-10-08
30,434.1,2023-10-08
27,430.1,2023-10-08
30,421.9,2023-10-08
28,403.6,2023-10-08
30,403.0,2023-10-08
30,400.1,2023-10-08
29,399.0,2023-10-08
28,386.9,2023-10-08
30,362.2,2023-10-08
26,362.2,2023-10-08
26,360.4,2023-10-08
28,356.6,2023-10-08
27,356.5,2023-10-08
26,302.4,2023-10-08
29,299.5,2023-10-08
30,288.4,2023-10-08
27,252.4,2023-10-08
24,222.6,2023-10-08
28,218.7,2023-10-08
