Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,671.7,2023-06-02
1,1,1,1,1,1,30,682.1,2023-06-02
2,2,2,2,2,2,30,633.2,2023-06-02
3,3,3,3,3,3,30,639.3,2023-06-02
4,4,4,4,4,4,30,619.9,2023-06-02
5,5,5,5,5,5,30,639.4,2023-06-02
6,6,6,6,6,6,30,575.6,2023-06-02
7,7,7,7,7,7,30,482.8,2023-06-02
8,8,8,8,8,8,30,401.3,2023-06-02
9,9,9,9,9,9,29,522.9,2023-06-02
10,10,10,10,10,10,30,423.1,2023-06-02
11,11,11,11,11,11,30,421.5,2023-06-02
12,12,12,12,12,12,30,500.2,2023-06-02
13,13,13,13,13,13,29,485.5,2023-06-02
14,14,14,14,14,14,30,535.4,2023-06-02
15,15,15,15,15,15,28,453.8,2023-06-02
16,16,16,16,16,16,30,585.5,2023-06-02
17,17,17,17,17,17,30,461.8,2023-06-02
18,18,18,18,18,18,30,443.9,2023-06-02
19,19,19,19,19,19,29,316.0,2023-06-02
20,20,20,20,20,20,30,494.2,2023-06-02
21,21,21,21,21,21,29,453.5,2023-06-02
22,22,22,22,22,22,30,592.0,2023-06-02
23,23,23,23,23,23,30,520.6,2023-06-02
24,24,24,24,24,24,28,333.3,2023-06-02
25,25,25,25,25,25,30,451.3,2023-06-02
26,26,26,26,26,26,30,428.0,2023-06-02
27,27,27,27,27,27,30,564.4,2023-06-02
28,28,28,28,28,28,30,411.7,2023-06-02
29,29,29,29,29,29,30,484.4,2023-06-02
30,30,30,30,30,30,30,562.9,2023-06-02
31,31,31,31,31,31,30,506.9,2023-06-02
32,32,32,32,32,32,30,539.4,2023-06-02
33,33,33,33,33,33,30,558.2,2023-06-02
34,34,34,34,34,34,30,416.7,2023-06-02
35,35,35,35,35,35,30,514.2,2023-06-02
36,36,36,36,36,36,30,583.8,2023-06-02
37,37,37,37,37,37,30,498.4,2023-06-02
38,38,38,38,38,38,29,404.7,2023-06-02
39,39,39,39,39,39,30,427.0,2023-06-02
40,40,40,40,40,40,30,409.7,2023-06-02
41,41,41,41,41,41,30,489.2,2023-06-02
42,42,42,42,42,42,30,484.8,2023-06-02
43,43,43,43,43,43,30,513.7,2023-06-02
44,44,44,44,44,44,30,560.7,2023-06-02
45,45,45,45,45,45,28,404.5,2023-06-02
46,46,46,46,46,46,30,384.1,2023-06-02
47,47,47,47,47,47,30,482.3,2023-06-02
48,48,48,48,48,48,30,472.7,2023-06-02
49,49,49,49,49,49,30,502.8,2023-06-02
50,50,50,50,50,50,30,548.1,2023-06-02
51,51,51,51,51,51,30,362.0,2023-06-02
52,52,52,52,52,52,30,383.9,2023-06-02
53,53,53,53,53,53,29,341.4,2023-06-02
54,54,54,54,54,54,29,390.4,2023-06-02
55,55,55,55,55,55,30,392.7,2023-06-02
56,56,56,56,56,56,30,384.2,2023-06-02
57,57,57,57,57,57,29,423.8,2023-06-02
58,58,58,58,58,58,30,648.8,2023-06-02
59,59,59,59,59,59,30,477.3,2023-06-02
60,60,60,60,60,60,30,444.8,2023-06-02
61,61,61,61,61,61,30,362.3,2023-06-02
62,62,62,62,62,62,30,471.8,2023-06-02
63,63,63,63,63,63,30,523.9,2023-06-02
