,level,power,date
0,30,600.0,2023-06-02
1,30,498.8,2023-06-02
2,29,465.8,2023-06-02
3,27,302.0,2023-06-02
4,30,512.4,2023-06-02
5,24,306.5,2023-06-02
6,24,302.0,2023-06-02
7,28,383.2,2023-06-02
8,30,365.2,2023-06-02
9,30,446.9,2023-06-02
10,29,373.0,2023-06-02
11,28,317.0,2023-06-02
12,28,393.9,2023-06-02
13,28,392.3,2023-06-02
14,28,378.1,2023-06-02
15,27,294.3,2023-06-02
16,29,401.6,2023-06-02
17,29,349.8,2023-06-02
18,29,378.4,2023-06-02
19,25,236.4,2023-06-02
20,27,210.5,2023-06-02
21,27,306.5,2023-06-02
22,25,225.9,2023-06-02
23,29,329.3,2023-06-02
24,29,354.0,2023-06-02
25,27,246.9,2023-06-02
26,29,311.7,2023-06-02
27,30,638.7,2023-06-02
28,28,354.0,2023-06-02
29,29,278.5,2023-06-02
30,30,423.2,2023-06-02
31,27,295.3,2023-06-02
32,30,408.2,2023-06-02
