level,power,date
30,700.7,2023-06-26
30,678.9,2023-06-26
30,664.8,2023-06-26
30,661.9,2023-06-26
30,648.5,2023-06-26
30,638.5,2023-06-26
30,635.8,2023-06-26
30,618.5,2023-06-26
30,616.4,2023-06-26
30,607.0,2023-06-26
30,599.5,2023-06-26
30,589.0,2023-06-26
30,588.0,2023-06-26
30,585.1,2023-06-26
30,576.4,2023-06-26
30,551.7,2023-06-26
30,543.7,2023-06-26
30,537.5,2023-06-26
30,530.6,2023-06-26
30,530.0,2023-06-26
30,523.0,2023-06-26
30,522.1,2023-06-26
30,512.9,2023-06-26
30,512.6,2023-06-26
30,511.4,2023-06-26
27,489.8,2023-06-26
30,479.9,2023-06-26
29,456.7,2023-06-26
30,447.8,2023-06-26
29,439.3,2023-06-26
27,421.5,2023-06-26
30,418.6,2023-06-26
27,414.7,2023-06-26
30,408.3,2023-06-26
27,385.3,2023-06-26
28,373.4,2023-06-26
26,369.2,2023-06-26
27,364.4,2023-06-26
29,354.1,2023-06-26
25,340.3,2023-06-26
28,334.3,2023-06-26
30,322.5,2023-06-26
25,315.7,2023-06-26
26,303.3,2023-06-26
29,301.7,2023-06-26
27,299.4,2023-06-26
25,291.6,2023-06-26
24,277.4,2023-06-26
27,276.1,2023-06-26
26,267.9,2023-06-26
26,263.8,2023-06-26
23,167.6,2023-06-26
21,136.8,2023-06-26
20,77.2,2023-06-26
