level,power,date
32,809.9,2023-10-08
32,791.8,2023-10-08
30,735.8,2023-10-08
30,723.7,2023-10-08
31,694.7,2023-10-08
31,694.3,2023-10-08
31,686.8,2023-10-08
31,671.5,2023-10-08
31,664.6,2023-10-08
31,652.4,2023-10-08
31,648.6,2023-10-08
30,630.3,2023-10-08
30,619.6,2023-10-08
30,610.5,2023-10-08
30,601.0,2023-10-08
30,566.9,2023-10-08
30,566.1,2023-10-08
30,564.5,2023-10-08
30,559.0,2023-10-08
30,545.2,2023-10-08
30,530.9,2023-10-08
27,502.7,2023-10-08
30,492.6,2023-10-08
30,491.6,2023-10-08
29,470.3,2023-10-08
27,469.2,2023-10-08
29,463.2,2023-10-08
28,459.8,2023-10-08
27,452.8,2023-10-08
27,449.9,2023-10-08
30,445.7,2023-10-08
30,444.6,2023-10-08
27,442.0,2023-10-08
30,438.7,2023-10-08
29,400.2,2023-10-08
26,375.0,2023-10-08
24,366.5,2023-10-08
25,350.4,2023-10-08
27,346.2,2023-10-08
25,341.9,2023-10-08
25,336.2,2023-10-08
27,320.4,2023-10-08
26,319.6,2023-10-08
25,315.6,2023-10-08
25,311.3,2023-10-08
27,302.2,2023-10-08
25,293.8,2023-10-08
25,282.7,2023-10-08
26,278.3,2023-10-08
26,272.7,2023-10-08
28,271.3,2023-10-08
27,268.0,2023-10-08
26,260.8,2023-10-08
26,256.9,2023-10-08
25,248.5,2023-10-08
26,204.4,2023-10-08
25,194.3,2023-10-08
23,122.4,2023-10-08
21,74.5,2023-10-08
