level,power,date
30,750.4,2023-06-16
30,700.8,2023-06-16
30,699.9,2023-06-16
30,697.4,2023-06-16
30,685.7,2023-06-16
30,680.9,2023-06-16
30,677.5,2023-06-16
30,673.4,2023-06-16
30,672.0,2023-06-16
30,670.3,2023-06-16
30,669.3,2023-06-16
30,667.7,2023-06-16
30,664.8,2023-06-16
30,653.2,2023-06-16
30,640.5,2023-06-16
30,635.6,2023-06-16
30,631.8,2023-06-16
30,628.3,2023-06-16
30,619.8,2023-06-16
30,612.6,2023-06-16
30,598.3,2023-06-16
30,597.8,2023-06-16
30,596.2,2023-06-16
30,595.8,2023-06-16
30,594.6,2023-06-16
30,593.0,2023-06-16
30,591.4,2023-06-16
30,588.8,2023-06-16
30,583.1,2023-06-16
30,583.1,2023-06-16
30,582.1,2023-06-16
30,568.6,2023-06-16
30,552.4,2023-06-16
30,550.5,2023-06-16
30,544.0,2023-06-16
30,539.8,2023-06-16
30,531.1,2023-06-16
30,518.0,2023-06-16
30,510.8,2023-06-16
30,488.1,2023-06-16
30,487.7,2023-06-16
30,487.4,2023-06-16
30,481.9,2023-06-16
30,480.6,2023-06-16
30,473.5,2023-06-16
28,473.3,2023-06-16
30,468.7,2023-06-16
29,445.4,2023-06-16
30,444.9,2023-06-16
28,439.0,2023-06-16
30,437.4,2023-06-16
30,435.3,2023-06-16
30,425.1,2023-06-16
29,417.0,2023-06-16
29,413.4,2023-06-16
29,404.0,2023-06-16
30,396.4,2023-06-16
30,386.5,2023-06-16
28,370.2,2023-06-16
30,357.4,2023-06-16
30,349.0,2023-06-16
28,291.6,2023-06-16
28,280.8,2023-06-16
27,243.6,2023-06-16
26,228.3,2023-06-16
23,166.1,2023-06-16
23,152.5,2023-06-16
22,141.2,2023-06-16
22,140.8,2023-06-16
23,138.2,2023-06-16
