level,power,date
30,675.5,2023-06-16
30,565.9,2023-06-16
29,557.2,2023-06-16
30,543.2,2023-06-16
30,537.2,2023-06-16
30,535.9,2023-06-16
30,531.6,2023-06-16
30,520.7,2023-06-16
30,515.4,2023-06-16
30,498.1,2023-06-16
30,462.7,2023-06-16
30,451.6,2023-06-16
29,449.4,2023-06-16
30,448.7,2023-06-16
29,446.2,2023-06-16
28,444.7,2023-06-16
30,442.1,2023-06-16
30,438.6,2023-06-16
29,430.0,2023-06-16
30,429.5,2023-06-16
30,428.7,2023-06-16
29,426.3,2023-06-16
30,425.1,2023-06-16
30,410.9,2023-06-16
28,400.9,2023-06-16
29,400.5,2023-06-16
28,391.8,2023-06-16
30,386.8,2023-06-16
30,377.1,2023-06-16
29,374.9,2023-06-16
27,367.0,2023-06-16
29,360.0,2023-06-16
28,346.6,2023-06-16
25,345.1,2023-06-16
26,328.5,2023-06-16
27,322.1,2023-06-16
26,311.5,2023-06-16
27,302.5,2023-06-16
26,301.1,2023-06-16
24,299.0,2023-06-16
27,298.9,2023-06-16
27,298.0,2023-06-16
27,297.4,2023-06-16
27,273.3,2023-06-16
27,267.9,2023-06-16
27,251.8,2023-06-16
24,245.9,2023-06-16
26,226.3,2023-06-16
24,212.0,2023-06-16
22,193.6,2023-06-16
23,173.3,2023-06-16
22,155.2,2023-06-16
21,127.4,2023-06-16
19,43.4,2023-06-16
