level,power,date
30,417.6,2023-06-21
28,407.7,2023-06-21
28,404.4,2023-06-21
29,367.8,2023-06-21
30,367.5,2023-06-21
27,366.4,2023-06-21
29,359.6,2023-06-21
30,357.5,2023-06-21
28,349.9,2023-06-21
25,325.8,2023-06-21
27,316.8,2023-06-21
27,301.7,2023-06-21
26,289.4,2023-06-21
26,288.0,2023-06-21
27,285.6,2023-06-21
26,274.8,2023-06-21
25,254.2,2023-06-21
25,242.8,2023-06-21
24,237.6,2023-06-21
23,232.2,2023-06-21
24,223.0,2023-06-21
22,207.4,2023-06-21
25,204.8,2023-06-21
24,204.0,2023-06-21
25,183.3,2023-06-21
22,178.8,2023-06-21
24,176.0,2023-06-21
24,161.3,2023-06-21
23,151.0,2023-06-21
22,147.9,2023-06-21
22,140.0,2023-06-21
24,124.3,2023-06-21
21,123.1,2023-06-21
22,117.3,2023-06-21
20,109.2,2023-06-21
19,108.6,2023-06-21
20,107.8,2023-06-21
21,107.1,2023-06-21
22,98.5,2023-06-21
20,88.7,2023-06-21
20,85.7,2023-06-21
20,77.3,2023-06-21
19,76.6,2023-06-21
19,69.2,2023-06-21
16,57.1,2023-06-21
15,42.8,2023-06-21
15,31.9,2023-06-21
11,15.6,2023-06-21
